member,organization,program,ein,amount,agency,purpose
Speaker,"Children's Rescue Fund, The",Job Training and Placement,133486829,150000,DYCD,"This funding will be utilized to greatly expand employment and vocational training staff as well as reach to unhoused clients, including parents of children; to hire additional employment specialists who will support Manhattan and Harlem shelters and increase overall employment metrics and job retention; and expand employment workshop capacity for shelter residents, covering certifications, and wardrobe and job interview etiquette preparation."
Ung,"Chinatown Manpower Project, Inc.",Community Development - Council District 20,132755214,5000,DYCD,Funding to offset costs of Job Counselor or Business Counselor to help Council District 20 residents find a job and start/sustain a business.
Marte,Chinatown Partnership Local Development Corporation,Community Education Workshops - Council District 1,421650478,5000,SBS,Funding will be used to support community education workshops in Council District 1.
Schulman,"Chinese American Planning Council, Inc.",AAPI Community Support - Council District 29,136202692,4000,DYCD,"Funding will support programming for Asian American and Pacific communities in direct services, mental health support, youth programs, racial literacy and other culturally competent services in Council District 29."
Menin,"Chinese American Planning Council, Inc. - Multilingual Social Services Program",Council District 5,136202692,5000,DYCD,Funding will be used to enhance the multilingual social services program aimed at reducing poverty and providing support and access to services for immigrants and limited English proficiency community members in City Council District 5.
Aviles,"Chinese American Planning Council, Inc.",Social Services - Brooklyn Community Center,136202692,30000,DYCD,Funds to support community benefits enrollment center in Council District 38.
Marte,"Chinese Peoples Federation for World Peace USA, Inc.",Council District 1,832630080,5000,DYCD,Funds will support programming and activities in Council District 1.
Marte,"Chinese Staff and Workers Association, Inc.",,133015932,7000,DYCD,"Funds will support legal services for low-income immigrant workers, including referrals, interpretation, and case management."
Louis,"Christopher Rose Community Empowerment Campaign, Inc.",Family Support Program - Council District 45,113423612,5000,DHMH,Funds will support a family support program providing maternal and family health services for pregnant and parenting families in Council District 45.
Wilson,Church of the Holy Apostles,,132892297,10000,DYCD,Funds will support costs associated with increased hunger relief services.
Osse,"Churches United for Fair Housing, Inc.",Affordable Housing & Tenant Support - Council District 36,264698161,30000,HPD,Funding for affordable housing and tenant support services in Council District 36.
Restler,"Churches United for Fair Housing, Inc.",Affordable Housing Outreach - Council District 33,264698161,25000,HPD,Funding to support affordable housing outreach in Council District 33.
Speaker,"Banks, Brooklyn, Louis, Restler Churches United for Fair Housing, Inc.",Affordable Housing Services,264698161,160000,HPD,To support affordable housing assistance programming and provide community members with training and guidance to navigate and demystify New York City's affordable housing lottery application process.
Gutierrez,"Churches United for Fair Housing, Inc.",Organizing Community Clean Ups - Council District 34,264698161,8000,DYCD,Funding will support community clean ups in Council District 34. Page 52 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Hudson,"Churches United for Fair Housing, Inc.",Turkey Giveaway & Supports - Council District 35,264698161,15000,DYCD,"Funding to support an annual turkey giveaway, including staffing and supplies, in Council District 35."
Gutierrez,"Churches United for Fair Housing, Inc.",Youth Organizing - Council District 34,264698161,6000,DYCD,Funding will support local youth organizing and services in Council District 34.
Restler,"Citizens Committee for New York City, Inc.",Community Cleanups - McCarren Park & Council District 33,510171818,5000,DYCD,"Funding to support local community clean up efforts in Council District 33, including in McCarren Park."
Gutierrez,"Citizens Committee for New York City, Inc.",Community Leader & Neighborhood Business Support,510171818,5000,DYCD,"Funding will cover expand grassroots projects through virtual programming, information sessions, and additional project support all at no cost to participants."
Dinowitz,"Citizens Committee for New York City, Inc.",Community Leader Grants & Neighborhood Business Services - Council District 11,510171818,10000,DYCD,"Funding to support general operational expenses, skills-building workshops, technical support in the form of project planning assistance and an equipment share library in Council District 11."
Banks,"Citizens Committee for New York City, Inc.",Community Leaders & Neighborhood Business Grant Program - Council District 42,510171818,5000,DYCD,Funding will provide Council District 42 access to the Community Leaders Grant Program and the Neighborhood Business Grant Program to support local leadership and small businesses programming.
Louis,"Citizens Committee for New York City, Inc.",Community Leaders & Neighborhood Business Program - District 45,510171818,5000,DYCD,"Funds will support operational expenses, as well as Community Leaders and Neighborhood Business Programs in Council District 45."
Marte,"Citizens Committee for New York City, Inc.",Community Leaders & Neighborhood Business Programs,510171818,5000,DYCD,Funds will support the Community Leaders Program and Neighborhood Business programming and operations.
Epstein,"Citizens Committee for New York City, Inc.",Community Leaders Program & Neighborhood Business Program - Council District 2,510171818,5000,DYCD,Funds will support the Community Leaders Program and Neighborhood Business Program in Council District 2.
Maloney,"Citizens Committee for New York City, Inc.",Council District 04,510171818,5000,DYCD,"Funding will support the operating expenses of the Neighborhoods Grants program, which helps resident-led efforts to tackle community problems and improve the quality of neighborhood."
Stevens,"Citizens Committee for New York City, Inc.",Council District 16,510171818,10000,DYCD,Funds will be used to support community engagement and outreach for businesses and residents in Council District 16.
Menin,"Citizens Committee for New York City, Inc.",Council District 5,510171818,5000,SBS,Funds would be used to manage and assist with programming for businesses and residents in Council District 5.
Banks,"City Harvest, Inc.",Community Programs - Council District 42,133170676,5000,DYCD,"Funds will be used to provide food rescue, delivery, and other community programming in Council District 42."
Maloney,"City Harvest, Inc.",Council District 04,133170676,5000,DYCD,Funding will support emergency food rescue and distribution and community-based programming.
Osse,"City Harvest, Inc.",Council District 36,133170676,5000,DYCD,Funding for food distribution services in Council District 36.
Aviles,"City Harvest, Inc.",Holiday & Food Distribution Events - Council District 38,133170676,20000,DYCD,Funds to support local food distribution including holiday food giveaway in Council District 38.
Nurse,"City Harvest, Inc.",Turkey Giveaway - Council District 37,133170676,7000,DYCD,Funds will support turkey distribution in Council District 37.
Aviles,"City Lore, Inc.",Naming the Lost: COVID Memorial Community Engagement - Council District 38,112740189,25000,DCLA,Funds will support community-based arts programming in Council District 38.
Epstein,"City Lore, Inc.",School Programs - Council District 2,112740189,5500,DCLA,Funds will support school programs in Council District 2.
Krishnan,"City Mission, Inc.",Mural Painting - Council District 25,472244424,5000,DYCD,Funding to support mural paintings and plantings in Council District 25. Page 53 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Ung,City Parks Foundation,CityParks Play & Build - Council District 20,133561657,7500,DPR,Funding to support community and senior sports programming in parks.
Caban,City Parks Foundation,"CityParks Play, CityParks Learn & Partnership for Parks - Council District 22",133561657,5000,DPR,"Funds will be used to provide free local sports, education, and volunteer programs in Council District 22."
Brewer,City Parks Foundation,CityParks Plays & Shows,133561657,5000,DPR,Funds will support CityParks and Shows programming.
Ung,City Parks Foundation,Community Programming - Council District 20,133561657,8000,DPR,Funding to support community and youth sports programming in parks.
Brooks-Powers,City Parks Foundation,Council District 31,133561657,5000,DPR,Funds to be used for City Parks Foundation programming and services in Council District 31.
Hanks,City Parks Foundation,SummerStage - Council District 49,133561657,16000,DPR,Funding will go towards SummerStage in Council District 49.
Menin,City Parks Foundation,SummerStage - Council District 5,133561657,9500,DPR,Funds will support the SummerStage program and other free programming that engages youth in environmental and sports activities across Council District 5.
Speaker,Hankerson City Parks Foundation,SummerStage and Community Programming in Council District 28,133561657,70000,DPR,"Funds will be used for diverse performances in Council District 28 for Summer 2026, ensuring every New Yorker has access to world-class art close to home."
Speaker,Hanks City Parks Foundation,"SummerStage, CityParks Play and CityParks Learn - Council District 49",133561657,110000,DPR,"To provide funding support for SummerStage, CityParks Play and CityParks Learn programs in Council District 49."
De La Rosa,City University of New York,Borough of Manhattan Community College - CUNY in The Heights,136400434,4000,CUNY,Funds will support CUNY In The Heights Project Impact program.
Marte,City University of New York,"Borough of Manhattan Community College - Early Childhood Center, Inc.",136400434,9000,CUNY,Funds will be used to support the Early Childhood Center to provide early childhood education and childcare services for student parents as they work towards earning their degree.
Hankerson,City University of New York,City Counseling Program - CUNY School of Law,133893536,40000,CUNY,Funds will support the Community Legal Resource Network at CUNY School of Law.
Hanks,City University of New York,College of Staten Island - Liberty Partnership Student Success Program,133893536,10000,CUNY,Funding to support the Liberty Partnership Student Success Program in Council District 49.
Caban,City University of New York,CUNY Citizenship Now - Council District 22,133893536,5000,CUNY,Funds will support CUNY Citizenship Now programming in Council District 22.
Brewer,City University of New York,CUNY Citizenship NOW Program - Council District 6,133893536,5000,CUNY,Funds will support CUNY Citizenship NOW programming in Council District 6.
Won,City University of New York,CUNY School of Law - Community Legal Counseling Program,136400434,10000,CUNY,Funds will support immigration legal counseling services to constituents of Council District 26.
Osse,City University of New York,CUNY School of Law - Community Legal Resource - Council District 36,133893536,45000,CUNY,Funding for civil and immigration law counseling and in-office services in Council District 36.
Restler,City University of New York,CUNY School of Law - Legal Services - Council District 33,133893536,10000,CUNY,Funding to support legal services in Council District 33.
Feliz,City University of New York,CUNY School of Law - Legal Services at District Office,133893536,45000,CUNY,Funds will go towards providing legal consultations in Council District 15.
Riley,City University of New York - CUNY School of Law Community Legal Resource Network,Council District 12,136400434,15000,CUNY,Funds will support the CUNY School of Law Community Legal Resource Network in Council District 12. Page 54 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Caban,City University of New York,CUNY School of Law Justice & Auxiliary Services Corporation - Council District 22,133893536,15000,CUNY,Funds will support Community Legal Resource Network (CLRN) programming in Council District 22.
Lee,City University of New York,CUNY School of Law Justice & Auxiliary Services Corporation - Council District 23,133893536,15000,CUNY,To support legal services within Council District 23.
Krishnan,City University of New York,CUNY School of Law Justice & Auxiliary Services Corporation - Council District 25,133893536,10750,CUNY,Funding to support the Kupferberg Holocaust Center at Queensborough Community College in Council District 25.
Narcisse,City University of New York,CUNY School of Law Justice & Auxiliary Services Corporation - Council District 46,133893536,25000,CUNY,Funding to support legal information workshops and one-on-one legal counseling in Council District 46.
Gennaro,City University of New York,Footsteps Program - Queens College,133893536,5000,CUNY,Funding to support operational and administrative costs related to the Queens College Footsteps Project.
Speaker,Manhattan City University of New York,Hunter College LGBTQ Policy Center,133893536,50000,CUNY,Funds will support the LGBTQ Policy Center at Roosevelt House.
Santosuosso,City University of New York,Kingsborough Community College - Aging Mastery Program,136400434,5000,CUNY,Funds to support the Aging Mastery Program at Kingsborough Community College.
Gennaro,City University of New York,Kupferberg Holocaust Center - Queens Community College,136400434,10000,CUNY,Funding to support the Kupferberg Holocaust Center at Queensborough Community College.
Ung,City University of New York,La Guardia and Wagner Archives,136400434,5000,CUNY,To support the New York City Council Collection at LaGuardia Community College.
Menin,City University of New York,Legal Clinics - CUNY School of Law,133893536,22500,CUNY,To support free legal clinics in City Council District 5 for residents twice monthly for housing and one monthly for small claims noticed through Council District 5 monthly newsletter and website.
Williams,City University of New York,PTA & Youthpreneurship Program - York College,133893536,10000,CUNY,To support the PTA and Youthpreneurship program in Council District 27 at York College.
Ung,City University of New York,Queens College - Asian/Asian American Center,133893536,5000,CUNY,Funds to support the Asian/Asian American Center at Queens College.
Krishnan,City University of New York,Queens Community College - Kupferberg Holocaust Center,136400434,5000,CUNY,Funding to support the Kupferberg Holocaust Center at Queensborough Community College.
Ung,City University of New York,Queensborough Community College - Harriet & Kenneth Kupferberg Holocaust Center,136400434,5000,CUNY,To support programing at the Kupferberg Holocaust Center at QCC.
Schulman,City University of New York,Queensborough Community College - Holocaust Education & Shared Humanity Programming,136400434,5000,CUNY,"Funds to support exhibitions, public programming, and educational resources to help District 29 constituents make clear connections between the Holocaust’s tragic history and issues our society is currently wrestling with."
Speaker,Lee City University of New York,Queensborough Community College - Kupferberg Holocaust Resource Center & Archives,136400434,50000,CUNY,To support both the Kupferberg Holocaust Center programming and services at Queensborough Community College.
Gennaro,City University of New York,Taft Institute - Queens College,133893536,5000,CUNY,Funding to support establishing a community-based project to develop a new curriculum for teaching immigration to high school students at Queens College.
Gennaro,City University of New York,Urban Studies Department - Queens College,133893536,7500,CUNY,"To provide funding support for a needs assessment that will include land use, transportation, gentrification and infrastructure implications. Resources to support the Urban Studies Department at Queens College. Page 55 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds"
Ariola,"Cityline Ozone Park Civilian Patrol, Inc.",Ozone Park Pantry - Council District 32,844635316,5000,DYCD,"Funds will support the ongoing operations of the Ozone Park Pantry, serving the local community and older adults in Council District 32."
Thomas-Henry,CityMeals on Wheels,Council District 21,133634381,25000,DYCD,Funds will be used for fresh produce and food deliveries to Council District 21 residents.
Lee,CityMeals on Wheels,Council District 23,133634381,10000,DFTA,Funds will support the delivery of emergency meals in Council District 23.
Abreu,"Classical Theatre of Harlem, Inc., The",Annual Uptown Shakespeare in the Park - Council District 7,134046782,10000,DCLA,Funding to support the 14th annual Uptown Shakespeare in the Park Series.
Gennaro,Climate Museum,,475518278,6000,DCLA,Funding to support field trips to the Climate Museum.
Wilson,"Clinton Housing Development Company, Inc.",Community Housing Preservation Strategies Initiative,132851988,5000,HPD,"Funds will support tenant information meetings, building-wide meeting, seminars, workshops on topics relevant to forming associations, addressing housing repair issues and landlord/management issues."
Zhuang,"Club A-Elita, Inc.",Recreational Programs - Council District 43,815218002,5000,DYCD,"Funding to support a variety of community events including music & art festivals, concerts, cultural & educational projects, wellness initiatives and community programs such as yoga."
Epstein,"Clubbed Thumb, Inc.",Theater Program - Council District 2,133947679,5000,DCLA,Funds will support theater programming and services in Council District 2.
Speaker,"Hudson Coalition for the Homeless, Inc.",Emergency Mail Program,133072967,50000,DHS,To support emergency mail program to provide unhoused New Yorkers with a place to recieve their private mail.
Maloney,"Coalition for the Homeless, Inc.",Grand Central Van Food Program - Council District 4,133072967,5000,DHS,Funding will support Grand Central Food program which serves meals to homeless and hungry people on the streets in Manhattan.
De La Rosa,"Coalition on Positive Health Empowerment, Inc.",Community Walking Group - Council District 10,272654975,5000,DHMH,To support community walking group in Council District 10.
Paladino,"College Point Citizens for Memorial Day, Inc.",Memorial Day - Council District 19,113531420,6000,DYCD,Funds will be used to support Memorial Day programming and services in Council District 19.
Paladino,"College Point Civic Association, Inc.",Taxpayers Services,113057201,8500,DYCD,Funds to support community activities and services in Council District 19.
Wong,"Colonial Farmhouse Restoration Society of Bellerose, Inc.",Council District 30,112508369,10000,DCLA,Funds to replenish the fruit trees in the 150-year-old orchard.
Lee,"Colonial Farmhouse Restoration Society of Bellerose, Inc.",Urban Farming & Programming - Council District 23,112508369,28000,DCLA,"To support costs of urban farming, free daily admission, and programming in Council District 23."
Lee,"Colonial Farmhouse Restoration Society of Bellerose, Inc.",Youth & Schools Programming,112508369,5000,DCLA,Funding to support programs for local youth and schools.
Brewer,"Columbus Avenue District Management Association, Inc.",Seasonal & Open Streets Programming - Council District 6,061561857,7500,SBS,Funds will be utilized to support seasonal and open streets programming in Council District 6.
P. Sanchez,"Committee for Hispanic Children and Families, Inc., The",Community Empowerment - Council District 14,112622003,10000,DYCD,To support an annual summer community empowerment event as well as back to school events.
Gutierrez,"Committee for Hispanic Children and Families, Inc., The",Early Care and Education Institute (EC&EI) & Community Empowerment Work - Council District 34,112622003,10000,DYCD,"Funding to support Early Care and Education Institute (EC&EI) and community empowerment work in Council District 34 to strengthen childcare quality, support families, and provide resources to providers and community members."
Marte,"Committee for Hispanic Children and Families, Inc., The",Early Care Education Institute,112622003,5000,DYCD,"Funds to support the Early Care & Education Institute (EC&EI), which provides professional development training and in-house coaching. Page 56 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds"
P. Sanchez,"Committee for Hispanic Children and Families, Inc., The","Public School 279X Captain Manuel Rivera, Jr. (10X279) & Public School 226X (10X226)",112622003,35000,DYCD,"Funds to support community empowerment through after school STEM programming at Public School 279 Captain Manuel Rivera, Jr. (10X279) and Public School 226X (10X226)."
Schulman,"Commonpoint NY, Inc.",Central Queens Senior Center,113071518,20000,DFTA,"Funding to support programming for seniors; including recreation, educational/health related components, exercise, nutrition, current events, support groups, mental health counseling, transportation, entertainment and inter-generational activities."
Speaker,"Lee Commonpoint NY, Inc.",Clearview Assistance Program,113071518,50000,DYCD,"To provide funding support for the purchase of food and personal hygiene products, as well as essential operational expenses necessary to maintain pantry services."
Thomas-Henry,"Commonpoint NY, Inc.",Council District 21,113071518,15000,DYCD,This funding will support district-based services and trainings programs.
Lee,"Commonpoint NY, Inc.",Deepdale Cares Program - Samuel Field YM & YWHA,113071518,13000,DFTA,To help fund the Deepdale Cares Program at the Samuel Field YM & YWHA.
Krishnan,"Commonpoint NY, Inc.",Jack and Shirley Silver Hub - Council District 25,113071518,6000,DYCD,Funding will support programming and services at the Jack and Shirley Silver Hub for
Queens,"residents in Elmhurst, located within Council District 25. Thomas-Henry Commonpoint NY, Inc.",Lefrak City - Council District 21,113071518,10000,DYCD,Funds will be used for pool and swimming program in Lefrak City.
Speaker,"Lee Commonpoint NY, Inc.",NORC WOW,113071518,50000,DFTA,"Funding will support a community-based Naturally Occurring Retirement Community- Supportive Services program with services including case management, counseling and intervention, health screenings and education, etc."
Ung,"Commonpoint NY, Inc.",North Flushing Senior Programs,113071518,5000,DFTA,"To support the North Flushing senior programs, including clubs, classes, inter- generational activities."
Lee,"Commonpoint NY, Inc.",Samuel Field Y Older Adult Center,113071518,25000,DFTA,To help maintain and expand services and programs provided by the Samuel Field Y Older Adult Center.
Gennaro,"Commonpoint NY, Inc.",T-Building Programming - Council District 24,113071518,10000,DYCD,Funding to support local youth and adult programming in Council District 24.
Won,Communities Resist Inc.,Legal Clinics - Council District 26,841899350,15000,DSS/HRA,Funds will support legal counseling services to constituents of Council District 26.
Restler,Communities Resist Inc.,Organizing & Community-Based Legal Services - Council District 33,841899350,15000,DSS/HRA,Funding to support Organizing and Community-Based Legal Services in Council District 33.
Speaker,"Brooks-Powers Community Center of the Rockaway Peninsula, Inc.",Vocational Training,113064561,80000,DYCD,This unique program features hands on training and instruction by seasoned instructors in a variety of career areas. Career areas include: Plumbing/ electrical; Bookkeeping; and Microsoft Office skills.
Hanif,"Community Development Project, Inc.",,831441257,5000,HPD,To support legal services to Brooklyn organizations working to realize equitable land use policies.
Menin,"Community Development Project, Inc.",,831441257,10000,HPD,"Funds to provide legal assistance to tenant and services to help preserve affordable housing for middle and low-income people at risk of housing loss due to rising rents, gentrification, the threat of predatory equity and the loss of affordable housing."
Banks,"Community Development Project, Inc.",Community Land Trust Initiative - Council District 42,831441257,5000,HPD,Funds will go towards supporting Legal and technical support for the Community Land Trust Initiative in Council District 42
Joseph,"Community Development Project, Inc.",Council District 40,831441257,5000,DSS/HRA,Funding will support immigration services for immigrant populations in Council District 40. Page 57 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Gutierrez,"Community Development Project, Inc.",Legal Service Trainings - Council District 34,831441257,5000,HPD,"Funding will support trainings and legal advice, counsel, and representation in program areas including housing, economic justice and immigration services."
Brewer,"Community Development Project, Inc.",Upper West Side Housing Clinics & Tenant Rights Workshops - Council District 6,831441257,19000,HPD,Funds will provide Clinics and Tenant Rights Workshops in Council District 6.
Hanif,"Community Help in Park Slope, Inc.",Food Pantry,112449994,5000,DYCD,Funds will support food pantry operations.
Hudson,"Community Help in Park Slope, Inc.",Soup Kitchen and Food Pantry,112449994,5000,DYCD,Funding to support food access and food pantries in Council District 35.
Speaker,"Abreu Community League of the Heights, Inc.",P.S. 4M After- School Program,132564241,100000,DYCD,Funding to continue operation and expand the P.S. 4M after-school program.
Speaker,"Community League of the Heights, Inc.",Technology and Workforce Center,132564241,100000,DYCD,Funding will support programming expenses of the Technology and Workforce Center.
Thomas-Henry,"Community Mediation Services, Inc.",Council District 21,112663007,25000,ACS,Funds to provide Mommy and Me Program and services for Council District 21.
Carr,"Community Resources Staten Island, Inc.",,135660279,10000,DYCD,"Funds will be used for general operating cost, staff training and development."
Speaker,Community Service Society of New York,,135562202,100000,DHMH,"To provide funding support for community-based organizations (CBOs) to provide culturally and linguistically appropriate education, outreach and assistance to all New Yorkers about how to access health care and coverage."
Louis,"Community Voices Heard, Inc. -",,133901997,5000,DYCD,"Funds will support community members with the skills and confidence to shape the decisions that impact their lives through trainings, leadership development, voter registration, and nonpartisan voter education."
Farias,"Community Voices Heard, Inc.",Civic Education & Engagement Program - Council District 18,133901997,6500,DYCD,Funding to support civic education and engagement program in Council District 18.
Hudson,"Community Voices Heard, Inc.",NYCHA Tenant Organizing - Council District 35,133901997,5000,DYCD,To support leadership development of NYCHA tenants and low-income Black women.
Gutierrez,"Community-Word Project, Inc.",Arts Residency - Public School 084K Jose De Diego (14K084),134114145,5000,DCLA,Funding will support the Arts residency at Public School 84K (14K084).
Caban,"Community-Word Project, Inc.",Collaborative Arts Residency Program - Council District 22,134114145,5000,DCLA,"Funds will be used to defray the operating expenses for programs at Public School 017Q Henry David Thoreau (30Q017), Albert Shanker School for Visual and Performing Art (30Q126), and Public School 234Q (30Q234)."
Gennaro,"Community-Word Project, Inc.",The Young Women’s Leadership School (TYWLS) - Council District 24,134114145,5000,DCLA,To support school based arts residencies programming for students in Council District 24.
Banks,"Comprehensive Academics Tutoring Services, Inc.",Job Training & Community Outreach Programs - Council District 42,271395375,5000,DYCD,"Funds will support job training and community outreach programs connecting residents, especially veterans and underserved populations to employment opportunities in Council District 42."
Abreu,"Comunilife, Inc.",Life is Precious Program - Council District 7,133530299,9000,DYCD,Funding will be used to support the Life is Precious program.
Santosuosso,Coney Island Neighborhood Revitalization Corporation,Economic Mobility Assistance - Council District 47,921820114,5000,DYCD,"Funds to support economic mobility and financial empowerment assistance, events, and training for residents of Council District 47."
Santosuosso,"Coney Island Sharks, Inc.",Youth Sports & Mentoring Programs - Council District 47,113304418,5000,DYCD,Funds to support youth sports and mentoring programs in Council District 47.
Speaker,Cong Chasdei Lev,,454786470,2000000,DYCD,Funding to support the costs associated with obtaining food and supplies for distribution to the needy. Page 58 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Louis,Cong Chasdei Lev,Distribution Events - Council District 45,454786470,5000,DYCD,Funds will support distributions of food and essential household items in Council District 45.
Felder,Cong Chasdei Lev,Food Distribution - Council District 44,454786470,5000,DYCD,Funds to be used to assist with food distribution operations for families in need of food.
Wilson,Congregation Beit Simchat Torah,Talk to Me About HIV & Aging Together,237406899,5000,DHMH,Funds will support Talk to Me About HIV and Aging Together programming and initiatives.
Brewer,Congregation B'nai Jeshurun Starafroler Hebria,Judith Bernstein Lunch Program,130594858,5000,DYCD,Funds will support food program.
Caban,"Connected Chef Foundation, Inc.",Food Equity Programming - Council District 22,852348659,10500,DYCD,Funds will support the continuation and expansion of Lifeline Groceries’ equitable food distribution across Council District 22.
De La Rosa,Connectemonos,El Conuco: Growing Youth Leadership Through Urban Farming,061603193,5000,DYCD,"Funds will support youth workforce development, sustainable urban farming, and environmental justice."
Paladino,Conrad Poppenhusen Association,Cultural & Historic Programs - Council District 19,111633524,20000,DCLA,Funds will support cultural programs and institutions to provide arts enrichment to the community in Council District 19.
Hudson,"Cool Culture, Inc.",CityWide Cultural Access - Council District 35,161636968,5000,DCLA,"Funding to support the CityWide Cultural Access program, which provides unlimited free admission to more than 90 cultural institutions."
Osse,"Cool Culture, Inc.",Cultural Access Pass - Council District 36,161636968,5000,DCLA,Funding for the Cultural Access Pass program for families in Council District 36.
Epstein,"Cooper Square Community Development Committee, Inc.",Council District 2,132666211,23000,HPD,"Funds will support tenant organizing, advocacy, and eviction prevention programs and operations in Council District 2."
Marte,"Cooper Square Community Development Committee, Inc.",Tenant Counseling & Organizing Services - Council District 1,132666211,5000,HPD,Funding will support Tenant Counseling & Organizing Services in Council District 1.
Aviles,"Cora, Inc.",Dance Training Programs at PAVE Academy - Council District 38,113639921,25000,DCLA,Funds to support free dance classes and open to the public programming in Council District 38.
Hanif,Coro New York Leadership Center,Immigrant Civic Leadership Program,133571610,5000,DYCD,To provide support for the Immigrant Civic Leadership Program.
Krishnan,"Corona Community Ambulance Corps, Inc.",Council District 25,113214382,5000,FDNY,"Funds will be used to support medical equipment, supplies, and training initiatives in Council District 25."
Vernikov,Council of Jewish Emigre Community Organizations. Inc.,,133955736,10000,DYCD,"Funding to cover costs for food packages delivered to Holocaust Survivors and WWII Veterans, delivered by volunteers."
Felder,"Council of Jewish Organizations of Flatbush, Inc.",,112864728,15500,DYCD,"To support benefits and entitlements assistance, legal services, housing counseling and advocacy, immigration assistance, ESOL and HSE (GED) programs, computer classes, financial services, employment services, senior services, and after-school programs."
Vernikov,"Council of Jewish Organizations of Flatbush, Inc.",,112864728,5000,DYCD,Funding to sustain COJOs major areas of support and service that include benefits and entitlement for the needy.
Speaker,"Felder Council of Jewish Organizations of Flatbush, Inc.",,112864728,110000,DYCD,"To provide funding support for: benefits & entitlements assistance; legal services; housing counseling & advocacy; Immigration Assistance; ESOL & HSE (GED) programs; Computer Classes; Financial, Employment & Senior Services; and After School Programming."
Joseph,"Council of Jewish Organizations of Flatbush, Inc.",Council District 40,112864728,5000,HPD,Funds will be used to provide assistance with foreclosure prevention.
Vernikov,"Council of Peoples Organization, Inc.",Benefits Access Program,753046891,15000,DYCD,Funding to connect eligible NYers to benefits through the assistance of case managers who walk individuals through the application process of government benefits. Page 59 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Narcisse,"Council of Peoples Organization, Inc.",Council District 46,753046891,5000,DYCD,Funding to provide social services support and community activities to constituents of Council District 46.
Joseph,"Council of Peoples Organization, Inc.",MCCAP initiative & Access Health NYC initiative - Council District 40,753046891,5000,DYCD,"Funds will support food distribution, NYC MCCAP initiative, Access Health NYC initiative that supports prevention and population health activities in Council District 40."
Banks,Council of Supervisors & Administrators,Executive/School Leadership Institute (ELI) - Council District 42,112024569,5000,DOE,"Funds will support mentorship, leadership, and coaching for aspiring principals and administrators in Council District 42."
Speaker,"Gennaro Council on the Environment, Inc.",,132765465,15000,DYCD,Funding to support the Food for Familes Program in Queens. This program provides farm fresh vegetables to low income communities.
Speaker,"Council on the Environment, Inc.",,132765465,60000,DYCD,Funding to support the Family Health Center of Harlem Fresh Food Box Program; to support staffing and operations costs of the Uptown Grand Central Fresh Food Box in East Harlem; and to support the Pitkin Youthmarket.
Restler,"Council on the Environment, Inc.",Community Supported Agriculture Program - Council District 33,132765465,10000,DYCD,Funding to support Grow NYC's Community Supported Agriculture program in Council District 33.
Santosuosso,"Council on the Environment, Inc.",Green Markets - Council District 47,132765465,10000,DYCD,To support GrowNYC programming and operation of Green Markets in Council District 47.
Hanif,"Council on the Environment, Inc.",GrowNYC - Council District 39,132765465,10000,DYCD,Funding to support operating expenses of GrowNYC program in Council District 39 including Greenmarket and Youthmarket farm stands.
Schulman,"Council on the Environment, Inc.",GrowNYC Farmstand Program,132765465,10350,DYCD,Funds to support the operation of the Farmstand Program in Council District 29.
Stevens,"Council on the Environment, Inc.",GrowNYC Green Space Programs - Council District 16,132765465,20000,DYCD,Funds will be used to support the creation or rejuvenation of a garden or urban farm in Council District 16.
Menin,"Council on the Environment, Inc.","GrowNYC, Greenmarkets & Fresh Food Box Program - Council District 5",132765465,7500,DYCD,"To support GrowNYC projects and programs, including Greenmarkets at 82nd and 91st Street and Fresh Food Box with a pick up location at Lenox Hill Senior Center and the City Council District 5 office."
Restler,"Council on the Environment, Inc.",McCarren Park Demonstration Garden - Council District 33,132765465,5000,DYCD,Funds to support the maintenance of McCarren Park Demonstration Garden in Council District 33.
Morano,"CrimsonRise, Inc.",,871249856,5000,DHMH,Funds will be used to support the waterfront run/walk/roll for autism.
Joseph,"Crown Heights Jewish Community Council, Inc.",Council District 40,237390996,5000,DSS/HRA,"Funds will support immigration services, family crisis intervention, employment assistance, access to public benefits, health insurance enrollment, SNAP enrollment, and crime victim services in Council District 40."
Hudson,"Crown Heights North Association, Inc.",Community-wide Services,200006693,15000,DYCD,"Funding to support community-wide services and goals, including park beautification, historic designation, and seminars."
