item_number,agency_name,agency_code,units_of_appropriation,num_units,report_deadlines,coverage_period,condition_text
1,City University of New York,042,001,1,"June 1, 2027",,"As a condition of the funds in unit of appropriatio n number 001, the City University of New York shall submit to the Council no later than June 1, 2027, a report on bias inci dents, disaggregated by type of incident and school, for the 2026-2027 academic year."
2,City University of New York,042,001; 002,2,,,"As a condition of the funds in unit of appropriation numbers 001 and 002, the City University of New York shall submit to the Council no fewer than four reports regarding the budget for each community college. A report shall be submitted within seven business days of each issuance of an update of the financial plan. Each such report shall include the following information for each community college: a. The amount of funds budgeted, disaggregated by budget code and source of funds; and b. Headcount."
3,Department for the Aging,125,003; 007,2,"September 1, 2026",,"As a condition of the funds in unit of appropriation numbers 003 and 007, the Department for the Aging shall submit to the Council no later than September 1, 2026, a report listing the name and location of each older adult center and social club under its jurisdiction and for each such center or club: a. Whether air conditioning is installed and if not, why; b. Whether air conditioning is functional; and c. If air conditioning is not functional, for how many days and why."
4,Department for the Aging,125,002; 003; 005; 006; 007,5,"December 31, 2026; January 1, 2027; January 15, 2027; July 1, 2026; July 15, 2027; June 30, 2027","July 1, 2026, to December 31","As a condition of the funds in unit of appropriation numbers 002, 003, 005, 006, and 007, the Department for the Aging shall submit two reports to the Council containing the current number of people on the waitlists for: case management services, home delivered meals, and home care services. The reports shall also list the case management agencies contracted to provide such services, and for each such agency shall provide the current ratio of caseworkers to clients a nd supervisors to caseworkers. The first report shall be submitted no later than January 15, 2027, and shall cover the period beginning July 1, 2026, and ending December 31, 2026, and the second report shall be submitted no later than July 15, 2027, and shall cover the period beginning January 1, 2027, and ending June 30, 2027."
5,Department for the Aging,125,003; 007,2,"December 31, 2026; February 1, 2027; January 1, 2026",,"As a condition of the funds in unit of appropriat ion numbers 003 and 007, the Department for the Aging shall submit to the Council no late r than February 1, 2027, a report on older adult center utilization, attendance, and meals served. Such report shall contain, for each older adult center and social club: a. The average daily attendance; b. The average number of meals served daily; and c. The utilization rate. Such report shall cover the period between January 1, 2026, and December 31, 2026."
6,Department of City Planning,030,001,1,"November 21, 2024",,"As a condition of the funds in uni t of appropriation number 001, the De partment of City Planning (DCP) shall post and maintain on its website or a City website maintained by the Office of the Mayor, the status of the implementation of each of the commitments made in the City of Yes for Housing Opportunity commitment letter dated November 21, 2024, including but not limited to: a. The status; and b. The status note. Such information shall be posted to maintain currency twice per year in January and July."
7,Department of Citywide Administrative Services,856,100; 290,2,"July 1, 2025; June 30, 2026; November 1, 2026","July 1, 2025, to June 30","As a condition of the funds in unit of appropriatio n numbers 100 and 290, the Department of Citywide Administrative Services shall submit a report to the Council regarding reimbursements made pursuant to section 10-172 of the administrative code for the cost of school safety guards. Such report shall provide: a. The headcount of school safety guards, disaggregated by school; b. The hours and amounts reimbursed for school safety guards, disaggregated by school; c. The number of schools that ap plied for the program established pursuant to section 10-172 and the number of schools enrolled in the program, disaggregated by non-public schools and charter schools; and d. A description of the methodology used to set the level of reimbursable hours with an explanation of any changes made to that level in the prior year. The report shall be submitted on or before November 1, 2026, and shall cover the period beginning July 1, 2025, and ending June 30, 2026."
8,Department of Correction,072,001; 002; 003; 005; 006; 009; 011,7,"December 31, 2026; January 1, 2027; January 15, 2027; July 1, 2026; July 15, 2027; June 30, 2027","July 1, 2026, to December 31","As a condition of the funds in unit of appropriat ion numbers 001, 002, 003, 005, 006, 009, and 011, the Department of Correction shall provide two reports to the Council that provide the number of uniformed officers that perform duties that do not require uni formed expertise and are traditionally and primarily performed by civilian personnel. Each report shall disaggregate such number by rank, and shall include the salary range, average salary, and title of the civilian positions occupied by such uniformed officers. The first report shall be submitte d on or before January 15, 2027, and shall cover the period beginning July 1, 2026, and ending December 31, 2026. The second report shall be submitted on or before July 15, 2027, and shall cover the period beginning January 1, 2027, and ending June 30, 2027."
9,Department of Education,040,436,1,"August 1, 2027; December 31, 2026; February 1, 2027; January 1, 2027; July 1, 2026; June 30, 2027","January 1, 2027, to June 30","As a condition of the funds in unit of appropriation number 436, the Department of Education (DOE) shall submit two reports to the Council regarding charter matching projects, including a list of all charter matching projects and the amount spent on each project, with a breakdown of expense and capital spending. For any charters where the school's expenditures and the DOE's match obligation do not match, DOE shall provide an explanation for the discrepancy. The first report shall be submitted no later than February 1, 2027, and shall cover the period begi nning July 1, 2026, and ending December 31, 2026, and the second report shall be submitted no later than August 1, 2027, and shall cover the period beginning January 1, 2027, and ending June 30, 2027."
10,Department of Education,040,406; 410; 436; 444,4,"January 31, 2027",,"As a condition of the funds in unit of appropriat ion numbers 406, 410, 436, and 444, the Department of Education (DOE) shall submit to the Council no late r than January 31, 2027, a report on the number of leases held by DOE and the number of leases held by a charter school that DOE subsidizes. For each lease held by DOE, such report shall include: a. The building identification code; b. The address; c. The start and end dates of the lease; d. The annual cost of the lease; e. The occupant of the leased space; f. The budget code; g. The building use; and h. Actual spending per lease in Fiscal 2026. For each lease held by a charter school and subsidized by DOE, the report shall include, for each building: a. The names of the charter school and charter operator; b. The address; c. The start and end dates of the lease; d. The annual cost of the charter school's lease for the current fiscal year; e. The annual cost of the lease DOE is obligated to pay for; f. The total lease payments from DOE to date; g. The projected total lease payments from DOE; h. The per pupil cost of the lease to DOE; and i. The owner of the leased property."
