year,category,category_canonical,initiative,initiative_canonical,award_type,member,organization,program,ein,amount,agency,purpose
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Stevens,"Crenulated Company, Ltd., The d/b/a New Settlement Apartments",Neighborhood Block Associations - Council District 16,141719016,10000,HPD,Funds will be used to engage and coordinate block associations in Council District 16.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Stevens,"Crenulated Company, Ltd., The d/b/a New Settlement Apartments",Youth & Community Services - Council District 16,141719016,5000,DYCD,"Funding to support youth and community services in Council District 16, which serves disconnected and at risk youth with high school equivalency prep, one-to-one advising, group work, job readiness, and job placement."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Hudson,"Crown Heights Jewish Community Council, Inc.",Social Service Center & Food Pantry Support - District 35,237390996,5000,DYCD,Funding to support the Social Service Center and food pantry.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Hudson,"Cumbe: Center for African and Diaspora Dance, Inc.",Adult Dance Program - District 35,475039336,5000,DCLA,Funding to support African and Diasporian dance and music programming for adults.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Hanks,CUNY School of Law Justice & Auxiliary Services Corporation,City Counseling Program,901013912,20000,CUNY,Funds will be used to provide legal resources to residents in Council District 49.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Paladino,"Dance Parade, Inc.",Ageless Action Dance Residencies,208576378,5000,DCLA,Funds will support the Ageless Action Dance Residency Program-District 19
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Moya,Department of Health and Mental Hygiene,Health Bucks - Council District 21,136400434,20000,DHMH,Funding to support the Health Bucks program in Council District 21.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Salamanca,Department of Health and Mental Hygiene,Health Bucks Program - Council District 17,136400434,20000,DHMH,"Funds will support Health Bucks through Urban Health Plan, which promotes healthy eating within low income neighborhoods."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Vernikov,Department of Transportation,DOT Signage,136400434,1000,DOT,"Funding for signage, including but not limited to NO Dumping signage, to be displayed in Council District 48."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Velazquez,"Destination Tomorrow, Inc.",,800259180,10000,DYCD,Funds to support Destination Tomorrow's food pantry in Council District 13.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Barron,"Digital Girl, Inc.",Council District 42,472288307,5000,DYCD,Funding to support operating expense costs for educational enrichment programming in Council District 42.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Brooks-Powers,District 29Q Community Education Council,Council District 31,690210637,5000,DOE,"Funding will support student and family activities and events, such as the Science Fair and History Fair student winners, and district-wide graduation ceremony in Council District 31."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Abreu,"Dominican Sunday, Inc.",,134188781,5000,DYCD,Funding to support Digital Inclusion and English Literacy Program in Council District 7.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Abreu,"Dominicanos USA, Inc.",,463738190,10000,DYCD,Funding to support Dominicanos USA programming in Council District 7.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Moya,"East Elmhurst Corona Civic Association, Inc.",Community Support & Events - Council District 21,112050254,10000,DYCD,"Funding to support community benefits programming, annual family events, food distributions and Thanksgiving drives, seasonal toy and coat drives, and program operations."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Louis,"East Flatbush Village, Inc.",,800612019,9000,DYCD,"Funds will be used to offset the cost of materials, youth staffing, field trip costs and cultural center fees for EFV's after-school and summer programs."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Ayala,East Harlem Neighborhood Based Alliance Corporation,,133772614,5000,MOCJ,"To provide funding for homelessness prevention, domestic violence prevention, and services for crime victims."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Gennaro,"East River Development Alliance, Inc.",Pomonok Tax Prep,861096987,10000,DYCD,Funding will support a range of services surrounding UUs free tax preparation program at Pomonok Housing in District 24.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Brannan,"Edith and Carl Marks Jewish Community House of Bensonhurst, Inc.",Adult Literacy/ESOL-Civics Program,111633484,4000,DYCD,"Funding will be utilized to provide Adult Literacy, ESOL/Civics classes to address literacy needs of the immigrant community."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Powers,"Educational Alliance, Inc., The",Sirovich Center,135562210,5000,DFTA,Funding will support programming at Sirovich Center.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Barron,"Entertainers for Education Alliance, Inc.",Council District 42,432115174,10000,DYCD,Funding to support operating expense costs for community youth programming.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Joseph,"Erasmus Neighborhood Federation, Inc.",Council District 40,112490986,7000,HPD,"Funds will support housing counseling, immigration services and computer literacy programming and services."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Marte,Exalt Youth,CORE Internship Program,205540955,5000,DYCD,"Funding will support exalt’s Core Internship Program, focused around academic progression, criminal justice avoidance, and employability."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Joseph,Ezras Cholim Yad Ephraim,Council District 40,542196301,4000,DYCD,Funding will support patients and their family members in Kings County hospital.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Mealy,"Faith and Hope Helping Hands, Inc.",Food America,853631985,10000,DYCD,"Funds will support food on wheels, services to bring groceries and fresh food to low income areas everyday."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Feliz,FAN4Kids,Public School 54X (10X054),260092086,15000,DOE,"Programming at PS54X AN4Kids Healthy and Food Secure Kids. Successful Students, Empowered Communities Expansion"
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Brooks-Powers,"Father's Alive In The Hood, Inc.",Council District 31,461091203,5000,DYCD,Funding will support intergenerational therapeutic groups to address fatherless youth in Council District 31.
FY23,ANTI-POVERTY,Anti-Poverty,,,initiative_provider,,Ossé Feed Forward US LLC,,264245043,10000,DYCD,Funding for food distribution programs in Council District 36.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Powers,"Find Aid for the Aged, Inc.",Woodstock Senior Center,132666921,10000,DFTA,"Funding will support line dancing, exercise programming, day trips to area museums, and cultural and theatre outings for the Woodstock Senior Center."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Hanif,Food Bank For New York City,Council District 39,133179546,2000,DYCD,"Funding to support the purchase and distribution of fresh, nutritious fruits and vegetables to Food Bank’s emergency food providers (EFPs) that serve Brooklyn’s Council District 39’s food insecure."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Brooks-Powers,"Forestdale, Inc.",Council District 31,111631747,5000,DYCD,"Funding will support the Strong Fathers initiative that provides staff to facilitate workshops, offers coaching, case management, and other services."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Hudson,Fort Greene Strategic Neighborhood Action Partnership,Maternal Family Care,113343941,5000,DYCD,Funding to provide transportation to participants in parenting and anger management classes and fund a Mother's day celebration for all participants.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Abreu,"Fortune Society, Inc., The",,132645436,5750,DYCD,Funding to support the food and nutrition programming in Council District 7.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Jordan,"Fund for the City of New York, Inc.",JMacforFamilies - Harlem Step Up,132612524,25000,DYCD,"Funds will be used to provide programming and services related to affordable housing, family wellness, affordable child care and food insecurities."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Feliz,"Fundacion de Ayuda a las Familias y Envejecientes, Inc.",Council District 15,853130678,10000,DYCD,Funds will support informational sessions and workforce development services in District 15.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Sanchez,"Gay Men's Health Crisis, Inc.",Food Programs & HIV Testing - Council District 14,133130146,5000,DHMH,To purchase HIV & STI tests for mobile and brick-and-mortar testing clinics in NYCC District 14.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Barron,"George Walker, Jr. Community Coalition, Inc., The",Council District 42,113341395,25000,DYCD,Funding to support operating expense costs for community youth programming including East New York Youth Court.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Adams,"Girl Scout Council of Greater New York, Inc.",Troop 6000 - Council District 28,131624014,2000,DYCD,Funds will support Troop 6000 in Council District 28 shelters.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Powers,"God's Love We Deliver, Inc.",,133366846,10000,DHMH,"Funding will support the provision of home-delivered meals to seriously ill people, their children, and their senior caregivers."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Ayala,"God's Love We Deliver, Inc.",Council District 8,133366846,5000,DFTA,To provide funding for free home-delivered meals and nutritional assessments/counseling for seniors in Council District 8.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Marte,"God's Love We Deliver, Inc.",Medically Tailored Home-Delivered Meals - Council District 1,133366846,5000,DHMH,"Funding will support the provision of home-delivered meals to seriously ill people, their children, and their senior caregivers."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Marte,"Good Old Lower East Side, Inc.",Housing Organizing & Services,132915659,5000,HPD,Funding will support general operating costs of GOLES housing organizing and services.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Riley,Good Shepherd Services,Bronx Rises Against Gun Violence (BRAG),135598710,15000,DYCD,"Funds will be used to support overall BRAG programming, including expanding team building activities with the staff and youth."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Feliz,Good Shepherd Services,Monterey Cornerstone Community Center,135598710,10000,DYCD,Funds will support programming at Monterey Cornerstone Community Center.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Carr,Grace Foundation of New York,,134131863,5000,DHMH,"Funds will be used to support after school and weekend recreation, social skills, support programs for children and families impacted by Autism Spectrum Disorder."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Sanchez,"Grand Slam foundation, Inc.",,271822546,8000,DYCD,"Funds will support youth with baseball and softball training fundamentals as well as wrap around supports such as social activities, academic tutoring and mentoring within Council District 14."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Brannan,"Grandma's Love, Inc.",Food & Literacy Programs,473474258,5000,DYCD,Funding to support the Backpack Food Program/ Literacy Program.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Williams,Greater Bethel Community Development Corporation,,320000557,10000,DYCD,"Funding will support outreach events, senior events, holiday events, and self-empowerment classes."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Adams,Greater Bethel Community Development Corporation,Agape Food & Clothing Distribution - Council District 28,320000557,15000,DYCD,Funds will support delivery and distribution of commodity needs in Council District 28
FY23,ANTI-POVERTY,Anti-Poverty,,,initiative_provider,,"Cabán HANAC, Inc.",Astoria Houses Cornerstone,112290832,10000,DYCD,Funds will be used to provide programming support at the Astoria Houses Community Center.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Ayala,"Harvest Home Farmer's Market, Inc.",Eating for Good Health (EFGH),061800512,5000,DYCD,Funds will be use to support the costs of operating the Eating for Good Health (EFGH) program.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Brannan,Helen Keller Services,,111630807,500,DFTA,Funds will be used to support the Adaptive Living Program for legally blind senior citizens.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Hanif,"Hollaback, Inc.",,273199988,3500,DYCD,"Funding to support bystander intervention trainings to low-income, at-risk communities within Council District 39 and throughout NYC."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Restler,"HOPE Program, Inc., The",Job Training & Placement - Council District 33,133268539,5000,MOCJ,Job Training and Placement Programs in Council District 33.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Hanif,"Housing and Family Services of Greater New York, Inc.",Council District 39,112412584,5500,HPD,"Funding to support tenant and homeowner outreach, assistance, and counseling as well as the financial empowerment program."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Brewer,"Housing Conservation Coordinators, Inc.",Community Legal & Organizing Program,510141489,10000,DSS/HRA,Funds will support the operating costs associated with the Community Legal and Organizing Program and services.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Farias,"Housing Court Answers, Inc.",,133317188,7500,DSS/HRA,Funds will provide Housing Court Information Services for Council District 18 residents.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Brewer,"Housing Court Answers, Inc.",Housing Court Assistance,133317188,5000,DSS/HRA,Funds support Housing Court Assistance programming and services.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Holden,"HSS Screening and Early Detection, Inc.",Health Screenings,473436880,20000,DHMH,Funds to be used for free mobile cancer and health screenings events in Council District 30.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Hanif,"Hunger Free America, Inc.",Council District 39,133471350,3500,DYCD,Funding to support general operating expenses.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Williams,"ICNA Relief USA Programs, Inc.",,043810161,5000,DYCD,Funds will support general expenses of ICNA Relief services including food pantries and enrichment programming.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Brooks-Powers,"Indo-Caribbean Alliance, Inc.",Council District 31,272848254,5000,DYCD,"Funding will support families applying for public benefits, housing, immigrations assistance and youth engagement in Council District 31."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Farias,"Interfaith Center of New York, Inc., The",Council District 18,133926970,7500,DYCD,"Funds will train and support diverse Faith leaders to be nonviolence ambassadors and contribute to change and violence delegitimization, including but not limited to, working with senior & community centers, NYCHAs, and educational institutions ."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Riley,Jamaica Benevolent Arm and Cultural Center,,412268299,20000,DYCD,Funds will be used for all Jamaica Benevolent Arm and Cultural Center operations including food pantry and immigrant services.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Velazquez,"Jewish Board of Family and Children's Services, Inc.",,135564937,10000,DHMH,Funding will provide for mental health services in Council District 13.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Dinowitz,"Jewish Board of Family and Children's Services, Inc.",Mental Health Services - Council District 11,135564937,25000,DHMH,Funds will support mental health services at the David and Lori Moore Family Counseling Center.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Brewer,"Jewish Board of Family and Children's Services, Inc.",Mental Health Services for Youth,135564937,5000,DHMH,Funds will support mental health services for youth.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Yeger,"Jewish Community Council of Greater Coney Island, Inc.",Transportation Program,112665181,20000,DYCD,"To support the operational costs of a shuttle bus service to transport residents of Southern Brooklyn to essential sites such as medical appointments, shopping, school, employment and senior centers."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Brooks-Powers,"Jewish Community Council of the Rockaway Peninsula, Inc.",Council District 31,112425813,10000,DYCD,Funding will support the referral of CBOs to assist low-income and vulnerable populations connect with the health care.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Mealy,"Judah International Christian Center, Inc.",,113352075,10000,DHMH,Funds will support Mental Health Elevation programming & services.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Feliz,"JustFix, Inc.",Housing Resources - Council District 15,813080695,20000,HPD,Funds will provide technology and housing workshops for tenants in CD15.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Ariola,Kehilat Sephardim of Ahavat Achim,,113101774,2500,DYCD,"Funds will be used to support a food pantry program, after school program and to purchase supplies and materials."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Schulman,Kehilat Sephardim of Ahavat Achim,Food Pantry,113101774,1500,DYCD,"Funds will support Food Pantry program and will offer the community a variety of produce, packaged and canned goods."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Paladino,"Korean American Family Service Center, The",Domestic Violence Prevention & Intervention Program,133609811,5000,MOCJ,"Funds will support services to Asian Americans who have survived domestic violence, sexual assault, relationship violence, human trafficking, and or child abuse."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Ung,"Korean American Family Service Center, The",Economic Empowerment Program - Adult Literacy,133609811,7500,MOCJ,"To support the Economic Empowerment Program, which helps victims of domestic violence move from crisis to economically empowered and independent lives via digital literacy."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Paladino,"Korean American Family Service Center, The",Rainbow House Emergency Shelter,133609811,5000,MOCJ,Funding will support the Rainbow House Emergency Shelter's programs and services.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Abreu,Lantern Community Services,,133910692,5000,DHMH,Funding to support the Food Access Initiative: Fresh Food Box (FFB) and Pantry in Council District 7.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Brewer,Lantern Community Services,Food Access Initiative: Fresh Food Box (FFB) & Pantry,133910692,5000,DYCD,Funds will support Food Access Initiative: Fresh Food Box (FFB) and Pantry.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Ayala,Lantern Community Services,Fresh Food Box,133910692,11000,DHMH,To provide funding for Lantern's Fresh Food Box Program in Council District 8.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Restler,"Leap, Inc.",Council District 33,113111694,3000,DYCD,Funds will be used to support job training program for public housing residents in Council District 33.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,De La Rosa,Legal Aid Society,Civil Legal Services,135562265,15000,DSS/HRA,To provide legal services in Council District 10.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Sanchez,Legal Aid Society,Civil Legal Services,135562265,10000,DSS/HRA,To support the wide range of civil legal services to district 14 residents.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Sanchez,Legal Aid Society,Civil Legal Services - Council District 14,135562265,10000,DSS/HRA,"Funds will provide a variety of Civil Legal Services to Council District 14 residents, including housing, health, employment, immigration, law reform, education, elder law, disability law, and community development work."
FY23,ANTI-POVERTY,Anti-Poverty,,,initiative_provider,,Avilés Legal Aid Society,Civil Legal Services - Council District 38,135562265,10000,DSS/HRA,"To support Civil Legal Services including housing, foreclosure prevention, homeless rights, government benefits, health, employment, low-wage worker, immigration, family/domestic violence, law reform in Council District 38."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Restler,Legal Aid Society,Legal Services for Low-Income New Yorkers - Council District 33,135562265,3000,DSS/HRA,To support the Citywide Civil Legal Services in Council District 33.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Farias,Legal Information for Families Today (LIFT),Council District 18,133910567,5000,MOCJ,"Funds will support Legal Services in Council District 18 including but not limited to, NYCHA complexes, educational and interfaith institutions, and community centers."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Krishnan,"Literacy (LINC), Inc.",Council District 25,133911331,5000,DYCD,To fund early and pre-literacy support for children and their families in Council District 25.
FY23,ANTI-POVERTY,Anti-Poverty,,,initiative_provider,,"Cabán Little Orchestra Society-Orpheon, Inc., The",Music Workshops,132638292,8000,DCLA,Funds will be used to support a district wide music theory and composition program.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Ayala,"Little Sisters of the Assumption Family Health Service, Inc.",Advocacy Program,132867881,10000,DYCD,"To provide funding to support the Advocacy program, which includes a food pantry and nutrition- related programs."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Sanchez,LSNY Bronx Corporation,Bronx Legal Services,161759590,5000,DSS/HRA,"To deliver critical legal assistance to vulnerable low-income NYCC District 14 residents, including the elderly, veterans, disabled, HIV-affected, children and immigrants."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Sanchez,Make the Road New York,Tenant Education & Defense Project,113344389,5000,DYCD,Funding to support housing advocacy including tenants rights information and housing rights for district 14 constituents
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Jordan,Manhattan Community Board #11,Harlem,136400434,10000,MNCB,Funds will be used to provide education and empowerment regarding advocacy programming and services.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Gennaro,Masbia of Queens,,270363356,5000,DYCD,"Funding to support operating expenses associated with food pantry / soup kitchen, including staff support, consumable supplies, food stuffs, facilities usage and insurance for Rego Park, Queens."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Lee,Masbia of Queens,,270363356,5000,DYCD,"Funding to support operating expenses associated with food pantry/soup kitchen, including staff support, consumable supplies, food stuffs, facilities usage and insurance."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Schulman,Masbia of Queens,,270363356,15000,DYCD,"The funding will be used for food, supplies, rent, utilities, insurance vital site staffing to operate and maintain Masbia of Queens."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Adams,"Medicare Rights Center, Inc.",Medicaid Education - Council District 28,133505372,5000,DFTA,"Funding will support Medicare Education and Enrollment in D28, and educating constituents on state and federal Medicare-related benefits."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Ayala,"Mercy Center, Inc.",Family Skills,133865634,10000,DSS/HRA,"To Provide funding to support operating expenses associated with the Family Skills program, including staff support."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,De La Rosa,"Met Council Research and Educational Fund, Inc.",Housing Mutual Aid Program,133580918,5000,HPD,To support a housing mutual aid program.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Borelli,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc.",,132738818,9500,DYCD,Funding will be used to support case workers and operations for south shore social services program in Council District 51.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Vernikov,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc.",,132738818,5000,DSS/HRA,"Funding to support social services and case management, emergency services for the needy."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Ung,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc.",Food Program,132738818,5000,DYCD,"To support the kosher food system, including emergency food packages for residents in Council District 20."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Schulman,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc.",Social Services Program,132738818,2000,DSS/HRA,"Funding to provide social services programming including case management, staff support and Seniorrepair/handyman services."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Louis,"Mobilization for Justice, Inc.",,132622748,4000,DSS/HRA,"Funding will support and provide residents with free legal assistance for anti-eviction, housing and foreclosure services and clinics within the Council District 45."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Farias,"Mobilization for Justice, Inc.",Council District 18,132622748,5000,DSS/HRA,Funds will be used to support Legal Services in Council District 18.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Marte,"Mobilization for Justice, Inc.",Free Legal Services - Council District 1,132622748,5000,DSS/HRA,Funds will be used to support Mobilization for Justice's free legal services for low-income New Yorkers in Council District 1.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Stevens,"Mobilization for Justice, Inc.",Legal Services and Outreach - Council District 16,132622748,10000,DSS/HRA,"Funds will support Mobilization for Justice, Inc. to provide comprehensive and free civil legal services to low-income New Yorkers through advice, counsel, and representation with an emphasis on serving people in kinship care circumstances in CD 16."
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Stevens,Montefiore Medical Center,BOLD (Bronx Oncology Living Daily) Community Cancer Navigation Program,131740114,5000,DHMH,Funds to support the Bronx Oncology Living Daily Community Cancer Navigation Program for residents in Council District 16.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Abreu,Morningside Heights Community Coalition,,813984395,6000,HPD,Funding to support operating costs associated with affordable housing advocacy initiative in Council District 7.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Joseph,"Morris Heights Health Center, Inc.",,061081232,6000,DHMH,Funding will support Healthy Moms & Tots program.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Riley,"Mosholu-Montefiore Community Center, Inc.",Food Pantry,133622107,15000,DYCD,Funds will be used to support Mosholu-Montefiore Community Center's food pantry.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Borelli,Museum of Maritime Navigation and Communication,,900730331,7500,DCLA,"Funding will support educational workbooks, lecture presentations, workshops to school and community groups and to develop exhibitions using the maritime artifacts and photographs held in the Museum's collection."
FY23,ANTI-POVERTY,Anti-Poverty,,,initiative_provider,,"Avilés Muslims Giving Back, Inc.",Hunger Kitchen - Council District 38,822712941,5000,DYCD,Funds will expand community services - food pantry programming and services.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Rivera,National Museum of Mathematics,,271450809,5000,DCLA,Funds will support the Museum of Mathematics programs and services.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Williams,"Neighborhood Housing Services of Jamaica, Inc.",Homeownership Stabilization Program,237398279,15000,HPD,Funding will support the administration of the Homeownership Stabilization Program.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Bottcher,"New Alternatives for Children, Inc.",,133149298,5000,DYCD,To support food pantry efforts.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Hanif,New Immigrant Community Empowerment (NICE),,113560625,4000,SBS,"To support immigrant workers access services to recover unpaid/stolen wages,"
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Velazquez,New York Botanical Garden,,131693134,10000,DCLA,Funds will support Senior Group Tours for seniors in Council District 13.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Mealy,New York City Housing Authority,Breevort Houses,136400434,2000,HPD,Funding to support NYCHA Tenant Associations at the Breevort Houses.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Mealy,New York City Housing Authority,Bronsville Houses,136400434,2000,HPD,Funding to support NYCHA Tenant Associations at the Bronsville Houses.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Kagan,New York City Housing Authority,Carey Gardens TA,136400434,1000,HPD,Funds will provide community engagement programs; physical fitness program and recreational programs.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Mealy,New York City Housing Authority,Fennimore/Lefferts Tenant Association,136400434,2000,HPD,Funding to support NYCHA Tenant Associations at the Fennimore/Lefferts Tenant Association.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Restler,New York City Housing Authority,Gowanus Houses Tenants Association,136400434,7500,HPD,Funding for use by Gowanus Houses Tenants Association.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Mealy,New York City Housing Authority,Howard Houses,136400434,1000,HPD,Funding to support NYCHA Tenant Associations at the Howard Houses.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Mealy,New York City Housing Authority,Howard Houses Rehabilitation Center,136400434,2000,HPD,Funding to support NYCHA Tenant Associations at the Howard Houses Rehabilitation Center.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Mealy,New York City Housing Authority,Kingsborough Houses,136400434,2000,HPD,Funding to support NYCHA Tenant Associations at the Kingsborough Houses.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Sanchez,New York City Housing Authority,Marble Hill Tenant's Association,136400434,2000,HPD,Funds will be used to support programming for Marble Hill Tenant's Association; Fresh Start/Renew Resident Fellowship & Continuous Community Initiative Projects.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Mealy,New York City Housing Authority,Marcus Garvey (Group A),136400434,1000,HPD,Funding to support NYCHA Tenant Associations at the Marcus Garvey (Group A) Developments.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Won,New York City Housing Authority,Queensbridge Houses Tenants Association,136400434,15000,HPD,Funding to support Queensbridge Houses Tenants Association.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Won,New York City Housing Authority,Ravenswood Residents Association,136400434,15000,HPD,Funding to support Ravenswood Residents Association
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Mealy,New York City Housing Authority,Reid Houses,136400434,2000,HPD,Funding to support NYCHA Tenant Associations at the Reid Houses.
FY23,ANTI-POVERTY,Anti-Poverty,,,member_item,Mealy,New York City Housing Authority,Saratoga Houses,136400434,1000,HPD,Funding to support NYCHA Tenant Associations at the Saratoga Houses.
