member,organization,program,ein,amount,agency,purpose
Levin,84th Precinct Community Council,,113149257,5000,DYCD,To support the operations of the 84th Precinct Community Council.
Koo,109th Precinct Community Council,National Night Out Against Crime,112417336,5000,DYCD,To support the 109th Police Precinct's National Night Out Against Crime.
Vallone,109th Precinct Community Council,Police Community Partnerships,112417336,5000,DYCD,Funding will support expenses related to running the annual Family Fun Day and other various events and programs.
Dromm,"110th Precinct Community Council, Inc.",National Night Out,432025653,5000,DYCD,To support the National Night Out crime/drug prevention awareness event.
Moya,"110th Precinct Community Council, Inc.",National Night Out,432025653,5000,DYCD,To be used for National Night Out in Council District 21.
Ampry-Samuel,1199 SEIU Employer Child Care Corporation,,134063281,13000,DYCD,"Funds will be used to support the 1199SEIU / Employer Childcare Corporation' Future of America Learning Center (FALC), WorkForce2000 (WF2) and its early childhood educators."
Eugene,1199 SEIU Employer Child Care Corporation,,134063281,5000,DYCD,"Funds will be used to support wrap around services designed to expose WF2 participant to college and career readiness programming including college preparation and career counseling, workforce development for youth and academic skills enhancement."
Louis,1199 SEIU Employer Child Care Corporation,Council District 45,134063281,5000,DYCD,Funds will support Emergency Child Care Relief For Healthcare Workers.
Matteo,122nd Precinct Community Council,,133371153,5000,DYCD,"Funds will be used for supplies, marketing, rentals, food for National Night Out, seasonal events, youth explorers and community meetings."
Gibson,"161st Street Merchants Association, Inc.",Council District 16,300064721,8000,DYCD,"Funding to support community events including Back-to-School Health Fair, turkey give- away to homeless veterans and residents, and the annual Holiday Celebration in Council District 16."
Speaker,"Ayala 2020 Vision for Schools, Inc.",Bring Art Back,453023036,50000,DYCD,"To provide funding support by connecting artists & youth workers with local schools as teaching artists, art directors, and mentors. Project based learning integrate life and art skills, as students cultivate a shared vision and bring that vision to life."
Johnson,42nd Street Workshop,New Play Development,133763953,5000,DCLA,"Funding to support costs associated with New Play Development programming and activities, including provision of low-cost/no-cost tickets to students, seniors and general public."
Johnson,"52nd Street Project, Inc., The",,133467948,5000,DCLA,To support The 52nd Street project's theatrical and academic mentoring programs.
Louis,"67th Precinct Clergy Council, Inc.",Council District 45,274581070,5000,DYCD,Funds support programming at 67th Precinct Council.
Ampry-Samuel,"67th Precinct Clergy Council, Inc.",Public Safety Coalition,274581070,5000,DYCD,Funds will be used to support the Public Safety Coalition.
Maisel,69th Precinct Clergy Council,,463745556,5000,DYCD,Funds will assist in hosting meetings and events including supplies and equipment.
Maisel,"69th Precinct Community Council, Inc.",,474186950,2000,DYCD,Funds will assist in providing community events and programs.
Rivera,"7 Loaves, Inc.",,132744557,5000,DCLA,Funds will support GOH Productions community arts programs.
Louis,70th Precinct Interfaith Clergy Council Inc.,Council District 45,831666768,5000,DYCD,Funds to support programming at 70th Precinct Council.
Ampry-Samuel,"71st Precinct Community Council, Inc.",,043784543,5000,DYCD,Funds will be used to support 71st Precinct Council community events.
Cumbo,"88th Precinct Youth Council, Inc.",Helping Encourage Leadership Potential (HELP) Camp,112799514,5000,DYCD,Funding to support the operating expense of the 88th Precinct Youth Council.
