member,organization,program,ein,amount,purpose
Brooks-Powers,"100 Suits for 100 Men, Inc.",Council District 31,462971279,7000,"Funding is to support services to seniors, including meal delivery, hair cuts, visits and social and community events in Council District 31."
Stevens,"1332 Fulton Avenue Day Care Center, Inc.",G.R.A.N.N.Y Program - Council District 16,132690309,20000,"Funds will go to G.R.A.N.N.Y program, which provides senior citizens that are or have been raising children with counseling, referrals, social services and social events within Council District 16."
Osse,"Age Friendly Central Brooklyn, Inc.",,853870243,60000,"Funding for senior events and programming in Council District 36 that include but are not limited to the annual Senior Pampering Day, Mothers' Day and Fathers' Day events, and cultural institutions trips."
Felder,"Agudath Israel of America Community Services, Inc.",Boro Park Senior Center,133975090,5000,"Funds will be used for printing of newsletters, exercise programs, recreational excursions and support for Boro Park Senior Center."
Louis,"Agudath Israel of America Community Services, Inc.",Brookdale Neighborhood Center - Council District 45,133975090,5000,Funds will support programming at Brookdale Neighborhood Center.
Felder,"Agudath Israel of America Community Services, Inc.",Brookdale Senior Center,133975090,25000,"Funds will be used for printing of newsletters, exercise programs, recreational excursions and support for Brookdale Senior Center."
Gennaro,"Agudath Israel of America Community Services, Inc.",Council District 24,133975090,16000,Funds will be used for social and cultural programming for seniors.
De La Rosa,"Agudath Israel of America Community Services, Inc.",Moriah Older Adult Luncheon Club,133975090,10000,To support programming at the Moriah Older Adult Luncheon Club.
Joseph,"Agudath Israel of America Community Services, Inc.",Older Adult Literacy - Council District 40,133975090,10000,Fund to be used for Older Adult Literacy related activities in Council District 40.
Williams,"Allen Community Senior Citizens Center, Inc.",,112326244,40000,Funds will support general operating and program expenses.
Adams,"Allen Community Senior Citizens Center, Inc.",Allen Rockaway Blvd Senior Center,112326244,24000,"Funding is to support virtual and recreational programming, and food services at the senior center."
Brooks-Powers,"Allen Community Senior Citizens Center, Inc.",Council District 31,112326244,6000,"Funding will support senior socialization programs including, virtual programs and materials and resources for arts programming in Council District 31."
Marmorato,Allerton Avenue Homeowners and Tenants Association,,133101238,20000,Funds will support senior programming in Allerton.
Williams,"Alpha Phi Alpha Senior Citizens Center, Inc.",,237436147,25000,"Funds will be used to senior district-based programming, office supplies, Physical/Health exercise equipment for members and general operational expense."
Brooks-Powers,"Alpha Phi Alpha Senior Citizens Center, Inc.",Council District 31,237436147,7000,Funding will support programmatic resources and senior services for the seniors Council District 31.
Bottcher,Alzheimer's Foundation of America,,911792864,5000,Funds will support AFA Education and Resource Center.
Felder,"American-Italian Coalition of Organizations, Inc.",59th Street Older Adult Center,112488439,7500,"Funds will be used for wellness and health programming for older adults, funding to support yoga and health classes."
Zhuang,"American-Italian Coalition of Organizations, Inc.",AMICO 59th Street Older Adult Center,112488439,7500,Funding for senior programs at AMICO 59th Street Older Adult Center.
Hanif,"American-Italian Coalition of Organizations, Inc.",Eileen C Dugan Amico Senior Center,112488439,9000,"To support older adult services at the Eileen C Dugan Amico Senior Center in Carroll Gardens including internet and phone connections, office and activity supplies and household supplies. Page 1 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds"
Brannan,"Apna Brooklyn Community Center, Inc.",Senior Services - Council District 47,820706930,5000,To support case management services and other programming for senior residents of Council District 47.
