member,organization,program,ein,amount,agency,purpose
Restler,84th Precinct Community Council,,113149257,5000,DYCD,To support the operations of the 84th Precinct Community Council.
Adams,"1 World Expo, Inc.",,813891758,5000,DYCD,To support civic education and programming in Council District 28.
Adams,"100 Suits for 100 Men, Inc.",,462971279,10000,DFTA,Funds will provide services for seniors in Rochdale Village within Council District 28.
Ung,109th Precinct Community Council,National Night Out Against Crime,112417336,8000,DYCD,Funding will be used to host community events with Police and Community.
Moya,"110th Precinct Community Council, Inc.",National Night Out - Council District 21,432025653,5000,DYCD,Funds will be used to support the National Night Out event in Council District 21.
Joseph,1199 SEIU Employer Child Care Corporation,Career Services - Council District 40,134063281,7000,DYCD,"Funds will be used to support wrap around services designed to expose WF2 participant to college and career readiness programming including college preparation and career counseling, workforce development for youth and academic skills enhancement."
Louis,1199 SEIU Employer Child Care Corporation,Council District 45,134063281,5000,DYCD,Funds will support Emergency Child Care Relief For Healthcare Workers in Council District 45.
Sanchez,1199 SEIU Employer Child Care Corporation,Future of America Learning Center (FALC),134063281,5000,DYCD,Funds will be used to support Future of America Learning Center's science fair event including supplies and curriculum for students leading up to the event.
Joseph,1199 SEIU Employer Child Care Corporation,The Anne Shore Sleep-Away Camp Program - Council District 40,134063281,5000,DYCD,Funds will be used for The Anne Shore Sleep-Away Camp Program contracts with 23 independently owned and operated camps that offer 1- to 4-week sleep away programming.
Hanks,121st Police Precinct Community Council,Council District 49,463856711,7000,DYCD,Funding will support community programs and services in Council District 49.
Joseph,360 Academic Sports Academy,Council District 40,852677647,5000,DYCD,"Funding will support a free year-around athletic training and academic support and enrichment program, including a six-week full day summer camp and our school year afterschool and Saturday program."
Bottcher,42nd Street Workshop,New Play Development,133763953,5000,DCLA,"Funds will support New Play Development includes Workshop Writers Intensives, Workshop LABs, Words Matter, private writer's meetings, and Out of The Hat."
Bottcher,"52nd Street Project, Inc., The",Arts Education & Youth Development Programming,133467948,5000,DCLA,To support arts and youth development programs.
Narcisse,61 Precinct Community Council,,992517566,7500,DYCD,Funding to provide youth programming and recreational activities in South Brooklyn.
Narcisse,69th Precinct Clergy Council,Unity in the Community - Council District 46,463745556,5000,DYCD,Funding to support community events and youth programming and youth explorer program.
Mealy,"77th Precinct Community Council, Inc.",,113463183,30000,DYCD,Funds will support transportation expenses for youth.
Paladino,"A Better College Point Civic Association, Inc.",College Point Civic Association,871091395,7500,DYCD,Funds will support the events and services for the College Point community.
Williams,"A Better Jamaica, Inc.",Jamaica Reads,113804421,10000,DCLA,Funds are used to support operational expenses of the Jamaica Reads in-school tutoring program.
Marmorato,"A Blend of Services, Inc.",Council District 13,454371145,5000,DYCD,"Funding will support grocery giveaways, career-readiness, and youth enrichment programs in Council District 13."
Hanks,A Chance In Life,Council District 49,131835632,10000,DYCD,Funding will support the youth center and community services in Council District 49.
Marte,"ABC No Rio, Inc.",,133171739,5000,DCLA,Funds will support program and operations for ABC No Rio zine fair and website.
Zhuang,Academy of Medical and Public Health Services,,272206293,10000,DYCD,Funds will be used to support service and programs in Council District 43. Page 27 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Narcisse,"Access Justice Brooklyn, Inc.",Council District 46,113155182,7500,DYCD,Funds to provide legal counseling and workshops for homeowners in Council District 46.
Krishnan,"Accompany Capital, Inc.",,810584343,7500,SBS,"To fund services to micro and small businesses in Queens including webinars, and technical assistance to process applications for grants and loans."
Speaker,Rivera Ackerman Institute for the Family,Gender and Family Project,131923959,50000,DYCD,Funding to support the expenses associated with The Gender and Family Project.
Powers,"Adamah, Inc.",,432080719,5000,DYCD,Funds would be used to help students with programming such as street clean ups for Council District 4.
Dinowitz,"Adamah, Inc.",Environmental Justice - Council District 11,432080719,5000,DYCD,Funding to support environmental justice programming in Council District 11.
Bottcher,"Adaptive Design Association, Inc.",Adapt for Access - Custom Assistive Equipment for Students with Disabilities,134170232,5000,DHMH,Funds will provide adaptations and educational experiences to the P138M network of schools.
Krishnan,Adhikaar for Human Rights and Social Justice,,203384725,14000,DYCD,"To fund immigration services, adult literacy classes, and programming expansion due to increased caseloads in response to COVID-19."
Speaker,Krishnan Adhikaar for Human Rights and Social Justice,,203384725,50000,DYCD,"Funds will be used to provide critical, language-accessible, and culturally component direct services to the Nepali-speaking community, such as case management support, adult and digital literacy classes, and workforce development trainings."
Banks,"African American Women In Cinema Organization, Inc.",Cinema Program & Filmmaking - Council District 42,134151020,5000,DYCD,Funds will support the Cinema Program and Filmmaking for students and residents of Council District 42.
Salaam,"African Communities Together, Inc.",,461689772,5000,DYCD,"To provide case management and navigation support to immigrant New Yorkers, helping them access vital services and overcome barriers due to language, cultural differences, and increased immigration enforcement."
Hudson,"African Voices Communications, Inc.",Artistic Programs - Council District 35,133687018,5000,DCLA,Funding for general operating support to provide artistic programs for low-income and fixed income residents in Brooklyn.
Salaam,"African Voices Communications, Inc.",Reel Sisters' Film Programs,133687018,5000,DCLA,"To support Reel Sisters' film programs by funding artistic fees, honorariums, marketing, and production costs, fostering opportunities for women of color filmmakers in Harlem."
Louis,"African Voices Communications, Inc.",Reel Sisters of the Diaspora Film Festival & Lecture Series - Council District 45,133687018,5000,DCLA,Funds will support the Reel Sisters of the Diaspora Film Festival & Lecture Series in Council District 45.
Salaam,Afrikana Corporation,,932592894,5000,DYCD,Funds to be used to provide services to older adults and youth.
Stevens,Afrikana Corporation,Council District 16,932592894,10000,DYCD,Funds will be used to support operational costs and community engagement in Council District 16.
Gutierrez,"Afro-Latin Jazz Alliance of New York, Inc.",Afterschool Programs - Public School 120K (14K120) & Public School 132K Conselyea School (14K132),453665976,5000,DCLA,Funding will support afterschool for Public School 120K (14K120) & Public School 132 The Conselyea School (14K132).
Mealy,"Afro-Latin Jazz Alliance of New York, Inc.",Council District 41,453665976,10000,DCLA,Funds will support programming and services in Council District 41.
Vernikov,"Agudath Israel of America Community Services, Inc.",,133975090,5000,DYCD,"Funding to support education, career counseling and job services, family support, social services, legal needs and referrals to unemployed or under employed individuals. Page 28 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds"
Ariola,"Agudath Israel of America Community Services, Inc.",Council District 32,133975090,5000,DYCD,"Funds will be used for educational programming, job training and career counseling services to unemployed and low income families."
De La Rosa,"AhHa!Broadway, Inc.",Spectacular Seniors - Council District 10,852492020,5000,DYCD,To support AhHa! Broadway Programming in Council District 10.
Rivera,"Aid for Life International, Inc.",,833055037,5000,DYCD,Funding will support Aid for Life's programs and operations.
Rivera,"AIDS Service Center of Lower Manhattan, Inc.",Alliance for Positive Change,133562071,5000,DHMH,Funds will support Alliance for Positive Change's programs and operations.
Bottcher,"AIDS Service Center of Lower Manhattan, Inc.",Food Access Programs,133562071,5000,DHMH,Funding will support the Food and Nutrition Services (FNS) Peer Coaching program.
Powers,"AIDS Service Center of Lower Manhattan, Inc.",Patients Access to Health - Council District 4,133562071,5000,DHMH,Funding will support program costs of Patients Access to Health in Council District 4.
Riley,"AIMHigh Empowerment Institute, Inc.",Mentorship Program - Council District 12,813143733,50000,DYCD,Funds to be used to operate the AIMHigh Empowerment Institute and all related programming.
Paladino,"AKTINA Productions, Inc.",English Speaking Greek Radio & TV,113220961,5000,DOITT,Funding will support public service and commercial free community programming.
Caban,"AKTINA Productions, Inc.",Greek Television Program - Council District 22,113220961,5000,DOITT,To support television programming that promotes Greek culture in New York City and outreach efforts specific to Council District 22.
Carr,Albanian American Association of Staten Island Inc.,,931542543,15000,DYCD,"Funds to be used for operating costs, events and programming."
Speaker,"Carr, Hanks Albanian-American Association of Ulqin, Inc.",,881042164,15000,DYCD,"Funds to be used for education programming, operational costs and events to teach culture, language and Albanian traditions."
Aviles,"Alex House Project, Inc., The",,475488301,20000,DHMH,Funds to support work development programming for new highly vulnerable parents.
Speaker,"Brannan Alfadila Community Services, Inc.",Youth Wellness and Inclusion Programming,851299761,20000,DYCD,"To support youth wellness and inclusion programming that integrates general and special needs children, including basketball program."
Speaker,Caban Ali Forney Center,Drop-In Center,300104507,50000,DYCD,Funding to support Ali Forney Center’s Emergency Housing Program Transitional Housing Program and Drop-In Center for Homeless LGBTQ Youth.
Williams,Allen A.M.E. Housing Corp,,112600290,16000,DYCD,"Funding will be used for programmatic staffing and planning, office supplies/equipment, and program supplies/equipment."
Adams,"Allen Community Senior Citizens Center, Inc.",Allen Rockaway Blvd Senior Center,112326244,9500,DFTA,"Funding is to support virtual and IT services, recreational and nutritional programming and staff at the senior center."
Brooks-Powers,Allen Neighborhood Preservation & Development Corporation,Council District 31,112705085,7500,DFTA,Funding will support in-person and virtual district-based senior services in Council District 31.
Paladino,"Alley Pond Environmental Center, Inc.",Environmental Education for All,112405466,5000,DCLA,The funding will be used to cover the various costs associated with implementing APEC's educational programs.
Speaker,"Lee Alley Pond Environmental Center, Inc.",Environmental Education for All,112405466,250000,DCLA,The funding will be used to cover the various costs associated with implementing APECs educational programs.
Speaker,"Brannan Alliance for Coney Island, Inc.",,460802042,100000,DYCD,"Funds will support small business support, public events, cultural programming, and community beautification in Council District 47."
Bottcher,"Alliance of Resident Theatres/New York, Inc.",,132768583,5000,DCLA,To provide comprehensive support services producers and artist members.
Hudson,"Alliance of Resident Theatres/New York, Inc.",Removing Financial Burdens for NYC Theatres - Council District 35,132768583,5000,DCLA,"Funding to support the Access A.R.T./New York program, which provides nonprofit theaters with tools to help them reach and serve more physically and developmentally disabled and neuro-diverse individuals."
Rivera,"Allied Productions, Inc.",Le Petit Versaille,133123525,5000,DCLA,Funds will support programs including Le Petit Versaille garden programs and operations. Page 29 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Ariola,"Allied Veterans Memorial Committee of Ridgewood and Glendale, Inc.",Memorial Day Parade,383853340,2500,DVS,"Funds to be used for the annual Memorial Day Parade including bands, reviewing stands, transportation, publicity and other supplies."
Holden,"Allied Veterans Memorial Committee of Ridgewood and Glendale, Inc.",Memorial Day Parade - Council District 30,383853340,2500,DVS,"Funds to be used for the annual Memorial Day Parade including bands, reviewing stands, transportation, publicity and other supplies."
