fiscal_year,stream,member,organization,program,ein,amount,agency,purpose,status,confidence,source_file
2015,appendix_a_aging,Gibson,"1332 Fulton Avenue Day Care Center, Inc.",,132690309,20000,DFTA,"Funds will go towards providing senior citizens that are or have been raising children with counseling, referrals, social services and social events within the district.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Dromm,AARP Chapter #991 Jackson Heights,,237247760,3500,DFTA,To fund rent for meeting space for seniors program,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Levine,"ARC XVI Fort Washington, Inc.",,132745426,5000,DFTA,Funds to support a bilingual transportation clerk and administrative and programmatic needs at ARC Senior Center.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Rodriguez,"ARC XVI Fort Washington, Inc.",,132745426,10000,DFTA,Funding to offset costs of consultants for Senior Center,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Rodriguez,"ARC XVI Fort Washington, Inc.",,132745426,13000,DFTA,Funding to offset costs of bi-lingual transportation clerk and vehicle expenses,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Dickens,Abyssinian Development Corporation,,133552154,4250,DFTA,Funding to support general operating expenses and programming/activities for seniors.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Menchaca,Academy Of Medical And Public Health Services,,272206293,3500,DFTA,"Funds to support The Health Literacy for the Elderly Program which offers  health education workshops to promote knowledge of diseases, health and nutrition management, and up-to-date healthcare regulations specifically to the elderly immigrant population.  FY15 funds will specifically cover the development of workshop materials, workshop space, instructor stipends, participant meals, and outreach materials.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Johnson,"Actors Fund of America, The",,131635251,5000,DFTA,"Funding is requested to support The Actors Funds work with its Seniors Advisory Committee,  which was established in 2011 to survey local seniors and make recommendations on how best to serve the aging population of the Chelsea/Hells Kitchen neighborhoods. The Actors Fund continues to work with the Seniors Advisory Committee to implement the recommendations made in its Seniors Community Survey, published in June 2013. Funding will cover staff salaries.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Greenfield,"Agudath Israel of America Community Services, Inc.",,133975090,15000,DFTA,"Funds will be used for rec/ed,  printing, replacement items, and contracts  fees",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Eugene,"Agudath Israel of America Community Services, Inc.",,133975090,16625,DFTA,"Funds will be used for rec/ed,  printing, replacement items, and contracts  fees",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Miller,"Allen Community Senior Citizens Center, Inc.",,112326244,5000,DFTA,"Funds will be used to help with the rising cost of food and to help maintain operation of our refrigerators and freezers as well as a new serving cart.  To also fund senior trips, purchase a new copier machine, ink and paper supplies for our computer class, and a DVD player.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Miller,"Alpha Phi Alpha Senior Citizens Center, Inc.",,237436147,10000,DFTA,"Funding to support upgrade of  telephone system, as well as kitchen needs and program activities.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Garodnick,"Alzheimer's Disease and Related Disorders Association - New York City, Inc.",,133277408,3500,DFTA,"Funding will support education, outreach and free enrollment in the Safe Return program, which provides support for persons with Alzheimer's disease .",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Rosenthal,"Alzheimer's Disease and Related Disorders Association - New York City, Inc.",,133277408,3500,DFTA,"Funding supports MedicAlert®Safe Return® (MASR) program which provides an ID bracelet, wallet cards and other identifiers for persons with dementia who wander, so they can be assisted quickly and returned home.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Ignizio,"Alzheimer's Disease and Related Disorders Association - New York City, Inc.",,133277408,5000,DFTA,"The program to be funded, MedicAlert®Alzheimer’s Association Safe Return® (MASR) in the 51st Council District.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Levine,"Alzheimer's Disease and Related Disorders Association - New York City, Inc.",,133277408,5000,DFTA,To fund the MedicAlert Alzheimer's Association Safe Return (MASR) program for seniors in Council District 7. Funding will support and increase in MASR enrollment  in Council District 7.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Matteo,"Alzheimer's Foundation of Staten Island, Inc.",,133185040,5000,DFTA,"Funds will be used for support groups, seminars, equipment loans, Friendly Calls and Informational Guide to Caregiving",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Treyger,American Association of Holocaust Survivors of the Former Soviet Union,,113395358,1000,DFTA,"To fund social events for elderly holocaust survivors including holidays, Russian cultural holidays, food packages and events celebrating the survival of association members. Services include, a support program for survivors allowing them to socialize and reconnect with people of similar backgrounds and reinforce their support network.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Treyger,American Association of Holocaust Survivors of the Former Soviet Union,,113395358,2500,DFTA,"To fund social events for elderly holocaust survivors including holidays, Russian cultural holidays, food packages and events celebrating the survival of association members. Services include, a support program for survivors allowing them to socialize and reconnect with people of similar backgrounds and reinforce their support network.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Menchaca,"American-Italian Coalition of Organizations, Inc. (AMICO)",,112488439,4000,DFTA,"Funds to  provide senior citizens, disabled individuals, and families with information, referral and case assistance services at two program sites in the Bensonhurst and Carroll Gardens sections of Brooklyn.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Greenfield,"American-Italian Coalition of Organizations, Inc. (AMICO)",,112488439,7500,DFTA,"Funds will be used  for wellness and health programming for older adults, specifically the funds will go for payment of yoga, and health instructors. Additionally funding will be used to defray costs of purchasing exercise equipment for the center's gym facilities.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Lander,"American-Italian Coalition of Organizations, Inc. (AMICO)",Eileen C Dugan Senior Center,112488439,7500,DFTA,To support education and wellness programs for seniors.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Ignizio,"Amvets Post 103, Inc.",,841653136,3500,DFTA,"Funding will be utilized to provide clothing, winter coats and hygiene kits to homeless veterans.  To arrange trips and outings for day care patients. Provide recreational items including but not limited to-books, craft kits, puzzles and supplies for use with the ceramic activities room. Also assist vets to understand and apply for VA benefits.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Arroyo,Arthritis Foundation Northeast Region NY Chapter,,800489313,5000,DFTA,To support the implementation of additional programs (regarding Arthritis) at community locations in Council District 17.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Gentile,"Asian Community United Society, Inc.",,264164117,5500,DFTA,Funds will pay the rental expense for a program for seniors specializing in Cantonese Opera and performing for the public.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Constantinides,"Astoria Performing Arts Center, Inc.",,651209580,8000,DFTA,Funding will be used to support a senior arts program.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Williams,"Bed-Stuy Campaign Against Hunger, Inc.",,200934854,5000,DFTA,Funding for Health 360 program.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Cornegy,"Bed-Stuy Campaign Against Hunger, Inc.",,200934854,15000,DFTA,"To support the Health 360 senior wellness program, which provides total wellness classes for seniors. The classes include light exercise and stretching, gardening and nutrition, recipe demonstrations. The seniors receive fruits and vegetables from the on-site garden. The funding is also used for general support for Bed-Stuy Campaign Against Hunger's general welfare services, and food programming. The funds will pay for staff salaries, equipment purchase and rental, supply purchase and rental, and general operating costs for all services performed in District 36.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Cohen,"Bedford Park Multi-Service Center for Senior Citizens, Inc.",,132745303,30000,DFTA,"Funding to support programming, entertainment, advocacy and transportation for seniors.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Cornegy,Bedford Stuyvesant Restoration Corporation,,116083182,16000,DFTA,To support programming and services associated with the Aging Improvement District,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Greenfield,Bensonhurst Council of Jewish Organizations,,112568013,7500,DFTA,"Requested funds will be used to provide support  for  Bensonhurst COJO case management services.  Funding will pay for caseworkers who connect clients with completing applications for social service benefits including affordable housing through Section 8, SCRIE and landlord tenant relations, entitlement and benefit assistance, emergency financial assistance, and information and referral.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Levin,Bergen Basin Community Development Corporation d/b/a Millennium Development,,113199040,4500,DFTA,"To provide health wellness classes, computer classes, and meals for senior citizens.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Barron,Bergen Basin Community Development Corporation d/b/a Millennium Development,,113199040,7000,DFTA,"Funds will be used to purchase exercise equipment and supportive items for the exercise room in the Penn-Wortman Senior/Community center,",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Barron,Bergen Basin Community Development Corporation d/b/a Millennium Development,,113199040,12000,DFTA,"Funds to provide services to the seniors of Abe Stark: Health & wellness classes such as yoga, exercise, tai chi, stretch, band, exercise, dance, computer learning and healthy snacks, along with breakfast and lunch.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Barron,Bergen Basin Community Development Corporation d/b/a Millennium Development,,113199040,12000,DFTA,"Funds  to support senior programming at Vandalia Senior Center.  Funds will be used to provide staff for various health and wellness classes, monthly cultural parties and to provide a healthy snack on the go.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Barron,Bergen Basin Community Development Corporation d/b/a Millennium Development,,113199040,15000,DFTA,"Funds  to provide services to the seniors of Penn Wortman: Health & wellness classes such as yoga, exercise, tai chi, stretch, band, exercise, dance, computer learning and healthy snacks, along with breakfast and lunch.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Williams,Bergen Basin Community Development Corporation d/b/a Millennium Development,,113199040,15000,DFTA,Funds to provide meals and services to the seniors of Midwood,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Maisel,Bergen Basin Community Development Corporation d/b/a Millennium Development,,113199040,105000,DFTA,"To sponsor services at satellite sites throughout southern Brooklyn including an Active Adult program, health wellness classes, and other classes and activities for senior citizens.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Palma,Beth Abraham Health Services,,131739920,10000,DFTA,"To provide programming for seniors, including wellness and health classes , trips that provide culturally diverse learning experiences and intellectually stimulating challenges.  Funding will cover costs associated with various workshops, consultant fees, admission fees, and transportation costs.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Ulrich,Blessed Trinity Roman Catholic Church,,262885471,5000,DFTA,"Funds will support the Golden Age club, serving seniors in the surrounding areas, including hosting meetings, special events, senior peer counseling, community updates and information on senior services.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Menchaca,Boro Park Jewish Community Council,,113475993,9000,DFTA,"Funds to  offer services that include: advocacy; counseling clients on benefits and entitlements; advising and/or processing applications for Food Stamps, Medicaid and Medicare, Social Security, Disability, Section 8 recertification and other government entitlements; Affordable Care Act navigational Services; Domestic Violence services and crisis intervention,  immigration services and Holocaust survivor services",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Lander,Boro Park Jewish Community Council,,113475993,13500,DFTA,"To support counseling, crisis intervention and job development services for seniors.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Cornegy,Bridge Street Development Corporation,,113250772,10000,DFTA,To support the salary of the  Director of Senior Services.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Arroyo,"Bronx Council on the Arts, Inc.",,132601303,7000,DFTA,"To support senior centers visual, and craft workshops, and opportunity for seniors to attend performing arts events, exhibitions, choral music, and other art programming.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Torres,"Bronx Jewish Community Council, Inc.",,132744533,10000,DFTA,Funds will provide social services at the community center located 3176 Bainbridge Avenue.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,King,"Bronx Jewish Community Council, Inc.",,132744533,10000,DFTA,Funding will support Case Assistance (including  crisis intervention & anti-eviction services) and Information Services.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Mark-Viverito,"BronxWorks, Inc.",E. Roberts Moore Senior Center,133254484,6500,DFTA,Funds will be used to support the Seniors Healthy Eating and Wellness (SHEW) program.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Arroyo,"BronxWorks, Inc.",,133254484,7000,DFTA,To support activities and services of the senior center at the Robert E. Moore Houses.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Gibson,"BronxWorks, Inc.",,133254484,10000,DFTA,"Funds will be used to support the BronxWorks social services program for the Naturally Occurring Retirement Community (NORC) at River Park Towers. The program is designed to help seniors overcome isolation, access resources, and enhance their sense of independence. The program provides: information  referral assistance, help with accessing benefits and entitlements, including Food Stamps and health insurance, housing counseling and minor home repair services, trips to social and cultural events and organized activities.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Cabrera,"BronxWorks, Inc.",Heights Senior Center,133254484,12500,DFTA,Heights Senior Center will use Council funds to provide the following services: English as a Second Language (ESL) education; Spanish as a Second Language classes; computer classes; physical fitness classes; and cultural arts (folk dancing) classes.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Cabrera,"BronxWorks, Inc.",East Concourse Senior Center,133254484,12500,DFTA,"BronxWorks East Concourse Senior Center will use these funds to pay for art classes and theater classes for  seniors. In addition, funds will pay for supplies for  daily educational and recreational activities, as well as occupancy costs not covered by the allowance from DFTA. To fund art classes with the Bronx River Art Center and theater classes with the Pregones Theater. To purchase supplies for these activities. To pay for  quarterly grease trap cleaning, yearly place of assembly permit, and annual cooling unit inspection, which DFTAs occupancy allowance is not large enough to cover.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Cabrera,"BronxWorks, Inc.",Morris Innovative Senior Center,133254484,25000,DFTA,"Funds are for the Service Enhancement Program of BronxWorks Morris Innovative Senior Center. Specific activities will be overseen by food service, education  recreation, and social service staff. These will include: (1) the purchase of healthy fresh foods from local area farms, community gardens, or farmers’ markets; (2) the acquisition of a state of the art refrigeration system to help preserve these and other raw foods; (3) trips to farmers’ markets and cultural or social activities to help seniors overcome isolation or depression; and (4) the staging of a performance created by the center’s older adults in partnership with an area theater group.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Barron,Brookdale Senior Resident Tenant Association,,030488857,2000,DFTA,"Funds will be used for TRANSPORTATION SERVICES TO EVENTS,MUSICALS CONCERTS,THEATER EVENTS, Various Holidays, DAILY ACTIVITIES,COMPUTER LEARNING ARTS AND CRAFTS",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Lander,"Brooklyn Arts Council, Inc.",,237072915,9500,DFTA,To support arts programs for seniors.  Funding will be used for community outreach about programs and to serve the Park Slope and Prospect Hill Senior Centers.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Levin,Brooklyn Bureau of Community Services D/B/A Brooklyn Community Services,,111630780,5200,DFTA,To support senior center programming for adults with developmental disabilities and to help seniors plan proactively for an active and healthy retirement.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Gentile,"Brooklyn Chinese-American Association, Inc.",,113065859,4500,DFTA,"Funds will provide recreational and educational activities, monthly birthday parties, and facility rental and insurance costs at the Sixth Avenue Senior Citizens Center.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Lander,"Brooklyn Chinese-American Association, Inc.",,113065859,5000,DFTA,To support recreational and educational activities for seniors at Sunset Park Senior Citizens Center.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Greenfield,"Brooklyn Chinese-American Association, Inc.",,113065859,6000,DFTA,"Funds will be used for educational and recreational activities, as well as to defray cost of facility rental at the Bensonhurst Senior Center.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Menchaca,"Brooklyn Chinese-American Association, Inc.",,113065859,11000,DFTA,"Funds to support recreational and educational activities, monthly birthday parties, as well as facility rental and insurance costs at our Sunset Park Senior Citizens Center and Sixth Avenue Senior Citizens Center.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Levin,"Brooklyn Community Pride Center, Inc.",,262214534,3500,DFTA,To provide Eldercare programming and outreach.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Cumbo,"Brooklyn Community Pride Center, Inc.",,262214534,6500,DFTA,"Funding will be used towards Eldercare programming and outreach, including development expenses associated with expanding the program.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Lander,"Brooklyn Community Pride Center, Inc.",,262214534,10000,DFTA,To support programming and outreach for LGBT seniors,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Miller,"C.W. Mixon Senior Outreach Center, Inc.",,562625535,9000,DFTA,"Funding to provide prepared meals, planned activities, organized excursions and other forms of enrichment to members of the senior citizen program.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,CD28,"CALBC Housing Development Fund Co., Inc. (d/b/a - Calvary Baptist Church Senior Housing)",,133173604,5000,DFTA,To support recreational and cultural activities for seniors and to purchase general supplies for various activities.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Miller,Calvary Baptist Church,,112480945,5000,DFTA,Funds will cover the  programming and staffing costs associated with the Grandparent Support Group.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,CD28,Calvary Baptist Church,,112480945,11000,DFTA,The funding will go towards the Grandparents support group that strives to provide events and activities for grandparents who are raising grandchildren.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Dickens,Canaan Baptist Church of Christ,,136013037,5000,DFTA,To provide computer and other classes for the elderly population in the Harlem and surrounding communities.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Matteo,"Carmel Richmond Nursing Home, Inc.",,132720248,3000,DFTA,"Carmel Richmond Health Care and Rehabilitation Center is requesting funds to purchase Broda chairs and new wall clocks for nursing home residents. The Broda chairs can be positioned in various ways to meet the unique needs of nursing home residents with advanced dementia and other neurodegenerative diseases when standard chairs and wheelchairs can no longer safely or comfortably accommodate a resident. The positioning capabilities of these chairs reduces pressure on skin and potential for skin breakdown as well as fall risk, and assists staff in transferring and repositioning residents. Additionally, the nursing home hopes to purchase new wall clocks for units that clearly display the time with large numbers, as well as day, date and month. In addition to being more readable, the clocks help nursing home residents stay oriented.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Rosenthal,"Carter Burden Center for the Aging, Inc., The",,237129499,3500,DFTA,"Funding to support Making Art Work, which offers classes to senior centers in Council District 6, including FIND Clinton NSC, FIND Hamilton NSC, Goddard Riverside NSC, JASA Club 76 and West 76th St Center. At regular intervals, Making Art Work staff will help mount exhibitions of recent artwork in your local community senior centers.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Levine,"Carter Burden Center for the Aging, Inc., The",,237129499,3500,DFTA,"Funds to conduct seminars on senior safety and related issues for adults 60 and older in Council District 7. Carter Burden Center will provide crisis intervention services including home visits, safety planning, court advocacy, legal guidance, coordination with police and counseling services.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Dickens,"Carter Burden Center for the Aging, Inc., The",,237129499,4500,DFTA,To provide art and crafts classes for seniors in Council District 9.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Johnson,"Carter Burden Center for the Aging, Inc., The",,237129499,4500,DFTA,"Making Art Work empowers and gives the elderly of your community an outlet through art and crafts, stemming isolation and facilitating a meaningful community base.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Garodnick,"Carter Burden Center for the Aging, Inc., The",,237129499,5000,DFTA,"Funding will support the Carter Burden Luncheon Club & Senior Program, which provides meals, socialization and other activities for seniors.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Mark-Viverito,"Carter Burden Center for the Aging, Inc., The",,237129499,10000,DFTA,"To support and enhance the following programs: Carter Burden/Leonard Covello Senior program, Elder Abuse Prevention Program, Carter Burden Senior Program, Case Management Unit, C.V. Starr Adult Day Services, Social Service Unit, Volunteer Services, Making Art Work, Carter Burden Gallery & Cultural Connections.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Kallos,"Carter Burden Center for the Aging, Inc., The",,237129499,30000,DFTA,"To support and enhance 10 core programs: the Social Service Unit, Community Elder Mistreatment Abuse Prevention Program, Carter Burden Senior Program, C.V. Starr Adult Day Services, Covello Senior. Program, Volunteer Services, Case Management Unit, Making Art Work, Carter Burden Gallery Cultural Connections to serve greater numbers of elderly, develop new initiatives to meet the needs of a growing and diverse constituency. Services provided include counseling, case assistance, advocacy, information, referral, help with benefit applications, senior center programming, social model adult day, volunteer programs (e.g.., friendly visiting, homebound meal delivery), art craft classes, access to cultural events.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Matteo,"Catholic Charities Community Services, Archdiocese of New York",,135562185,3000,DFTA,"Funds will be used to supplement the cost of raw food items such as fruit, vegetables, lean meat and fish so that the organization can continue to serve healthy meals.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Rose,"Catholic Charities Community Services, Archdiocese of New York",,135562185,15000,DFTA,"Funds to supplement the cost of raw food items such as fruit, vegetables, lean meat and fish so that we can continue to serve healthy meals.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Gentile,"Catholic Charities Neighborhood Services, Inc.",,112047151,1500,DFTA,"Funds will provide educational, recreational, social, and health promotion activities, transportation, nutritious meals, and case assistance for seniors at the Narrows Senior Center and case management and other services to homebound older adults at the Benson Ridge Senior Services program.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Treyger,"Catholic Charities Neighborhood Services, Inc.",,112047151,2500,DFTA,"Funds will be used to support educational  recreational and health promotion activities, to subsidize the increase cost of utilities  meals, and to provide supplies  general support to operate the program.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Maisel,"Catholic Charities Neighborhood Services, Inc.",,112047151,5000,DFTA,"CCNS The Bay Senior Center serves the elderly by providing enriched and diverse educational  recreational activities, social activities, health promotion activities, transportation, nutritious meals, and case assistance.  Council discretionary funding is needed to enhance and subsidize the services due to the increased needs of the elderly.  Funds will be used to support educational  recreational and health promotion activities and to subsidize increased cost of employee fringe benefits  kosher meals, and to provide supplies  general support to operate the program.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Deutsch,"Catholic Charities Neighborhood Services, Inc.",,112047151,5000,DFTA,"Funding will serve the elderly by providing enriched and diverse educational  recreational activities, social activities, health promotion",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Menchaca,"Catholic Charities Neighborhood Services, Inc.",,112047151,5000,DFTA,"Funds to support educational, recreational, and health promotion activities provided to the seniors, to upgrade computer labs, and to provide supplies needed to operate the program.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Crowley,"Catholic Charities Neighborhood Services, Inc.",,112047151,6000,DFTA,"Funding to support general operations, programing, transportation, socialization, rent,",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Ulrich,"Catholic Charities Neighborhood Services, Inc.",,112047151,6000,DFTA,"Funds will support the Senior Center's educational, recreational and health promotion activities, transportation needs by seniors and to provide support for general operations.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Ulrich,"Catholic Charities Neighborhood Services, Inc.",,112047151,6000,DFTA,"Funds will support the Senior Center's educational, recreational and health promotion activities, transportation needs by seniors and to provide support for general operations.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Ulrich,"Catholic Charities Neighborhood Services, Inc.",,112047151,6000,DFTA,"Funds will support the Senior Center's educational, recreational and health promotion activities, transportation needs by seniors and to provide support for general operations.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Ulrich,"Catholic Charities Neighborhood Services, Inc.",,112047151,6000,DFTA,"Funds will support the Catholic Charities' services, educational, recreational and health promotion activities, transportation needs by seniors and to provide support for general operations.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Levin,"Catholic Charities Neighborhood Services, Inc.",,112047151,7000,DFTA,"To support CCNS Pete McGuinness Senior Center, which serves the elderly by providing enriched and diverse educational, recreational  social activities, health promotion activities, nutritious meals, transportation and case assistance.  Funds will be used to support educational/recreational  health promotion activities and to subsidize meals costs and to provide general support to program operation.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Levin,"Catholic Charities Neighborhood Services, Inc.",,112047151,7000,DFTA,"To support CCNS St. Charles Jubilee Senior Center, which serves the elderly by providing enriched and culturally diverse educational/recreational/social activities, health promotion activities, nutritious meals, and case assistance.  Funds will be used to support educational, recreational, and health promotion activities, to subsidize the cost of utilities and meals, and to provide supplies  general support to operate the program.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Vallone,"Catholic Charities Neighborhood Services, Inc.",,112047151,9500,DFTA,Funding will support the CCNS Bayside Senior Center in providing educational/recreational  health promotion activities and to subsidize increased meals cost and to provide general support to program operation.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Lancman,"Catholic Charities Neighborhood Services, Inc.",,112047151,10000,DFTA,"Educational, recreational, social and health promotion activities, nutritious meals, and case assistance.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Williams,"Catholic Charities Neighborhood Services, Inc.",,112047151,10000,DFTA,"Funds to provide meals, education and health programs.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Dromm,"Catholic Charities Neighborhood Services, Inc.",,112047151,13000,DFTA,"To support educational and recreational and health promotion activities for seniors and to subsidize increased meals cost, utilities and rent and to provide general support to operate the program.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Weprin,"Catholic Charities Neighborhood Services, Inc.",,112047151,26250,DFTA,"Funds will be used to support educational/recreational health promotion activities, to subsidize increased meals cost and to provide general support to program operation.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Constantinides,"Catholic Charities Neighborhood Services, Inc.",,112047151,30000,DFTA,"Funding will be used to support programing and subsidize the costs of meals, utilities, and rent.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Ulrich,"Catholic Charities Neighborhood Services, Inc.",,112047151,31000,DFTA,"Funds will support the Senior Center's educational, recreational and health promotion activities, transportation needs by seniors and to provide support for general operations.",Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Levin,"Center for Anti-Violence Education (CAE, Inc., The)",,112444676,3500,DFTA,To support violence prevention programming at local senior centers.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Constantinides,"Central Astoria Local Development Coalition, Inc.",,112652331,7000,DFTA,Funding will be used to support case management services for seniors.,Cleared,high,funded_disclosure_FY2015.xlsx
2015,appendix_a_aging,Rose,Central Family Life Center,,133626127,20000,DFTA,Funding will be used to provide the seniors with breakfast and lunch; the cost of bus and train excursions to various shopping centers and theaters; and the costs of a visiting nurse and other professionals to come once a month to check blood pressures and give vital information that will be helpful.,Cleared,high,funded_disclosure_FY2015.xlsx
