member,organization,program,ein,amount,purpose
Marte,"Asian-American Coalition for Children and Families, Inc.",Asian American Student Advocacy Project (ASAP),133682471,5000,Funds will be used to support programs and services associated with the Asian American Student Advocacy Project (ASAP).
Schulman,"Asian-American Coalition for Children and Families, Inc.",Asian American Student Advocacy Project (ASAP),133682471,5000,"To support Asian American Student Advocacy Project (ASAP), providing youth leadership programming and services."
Joseph,"Asian-American Coalition for Children and Families, Inc.",Asian American Student Advocacy Project (ASAP) - Council District 40,133682471,5000,"Funding will be used to support programming for Youth in Council District 40 including program staff salary, program materials and supplies."
Narcisse,"Asian-American Coalition for Children and Families, Inc.",Youth Programming - Council District 46,133682471,5000,Funding to provide youth leadership programming for AAPI youth in Council District 46.
Marte,"Asphalt Green, Inc.",Council District 1,136533158,5000,To support Asphalt Green’s Community Programs which engages underserved youth in sports and fitness.
Paladino,"Auburndale Soccer Club, Inc.",Youth Soccer Program,112476178,7500,Funds will be used for Youth Soccer Program and field maintenance.
Barron,Ballin Out Loud,Ballin - Council District 42,472433652,7500,Youth and young adult sports and community programming.
Jordan,"Ballroom Basix USA, Inc.",,273218865,22000,Funds to support 12-session of programming in elementary and middle schools in Council District 9.
Salamanca,"Banana Kelly Community Improvement Association, Inc.",Youth Education Program - Council District 17,132934000,20000,Funding to support the Youth Educational Program (YEP).
Abreu,Bank Street College of Education,Liberty LEADS - Council District 7,135562167,5000,To support program costs of the Liberty LEADS program for Council District 7 students.
Abreu,Barnard College,STEAM in the City - Council District 7,131628149,5000,Funding to support STEAM in the City programming in Council District 7.
Brooks-Powers,"Battalion Pentecostal Assembly, Inc.","Royal Rangers, Daughters of Purpose & Youth Ignition",364391337,9000,"Funds are to be used for program support in Council District 31, regarding STEM education and financial literacy."
Paladino,Bayside Little League,Youth Sports Program,521234764,10000,Funding will be used for purchasing and upgrading equipment as well as operating costs.
Hanif,"BCT Brooklyn Children's Theatre, Inc.",Musical Theatre Classes,452906089,5000,Funds will support musical theatre classes programming and services.
Hanif,"Beam Center, Inc.",Work-Based Learning Apprenticeship - West Brooklyn Community High School,454273449,10500,To support Work-Based Learning Apprenticeship for Immigrant students and students from West Brooklyn Community High School.
Williams,"BeingEgypt Cares, Inc.",,921532576,5000,"Funds will be used to have youth take part in day of educational, social, cultural, leadership, and service-oriented programming and fun activities."
Narcisse,Bergen Basin Community Development Corporation d/b/a Millennium Development,Youth Services - Council District 46,113199040,80000,Funding to provide general youth programming including youth sports and events as well as social activities.
Gennaro,Beth Gavriel Bukharian Congregation,,113336257,5000,"Funding to support the expenses associated with youth programming including arts/crafts, music, literature activities, and sports. Appendix C: Youth Discretionary Page 150 Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds"
Schulman,Beth Gavriel Bukharian Congregation,After-School Programs - Council District 29,113336257,30000,Funds will support an after-school program that helps kids with homework and extracurricular activities in Council District 29.
Schulman,Beth Gavriel Bukharian Congregation,Youth Programming,113336257,15000,"Funding to support the operating expenses associated with after school programs and activities including arts & crafts, music, drama, literature, sports, homework help, general recreation and fun."
Restler,"Beyond Boxing, Inc.",Education & Training - Council District 33,464347474,5000,To support Beyond Boxing classroom/curricular instruction and boxing training for justice-involved youth.
Bottcher,"Big Brothers Big Sisters of New York City, Inc.",,135600383,5000,To support mentoring and youth development programs for NYC youth.
Powers,"Big Brothers Big Sisters of New York City, Inc.",,135600383,5000,Funding will support mentorship programming for bigs and littles in Council District 4.
Riley,"Big Brothers Big Sisters of New York City, Inc.",Council District 12,135600383,5000,Funds will be used to support programming and operations in Council District 12.
Narcisse,"Big Brothers Big Sisters of New York City, Inc.",Youth Services - Council District 46,135600383,5000,Funding to expand recruitment and retention of more youth and mentors in Council District 46th.
Menin,"Billion Oyster Project, Inc.",,272918478,5000,To provide programming services for students living in Council District 5.
Hudson,"Billion Oyster Project, Inc.",Billion Oyster Project School Network - District 35,272918478,5000,To support educational programming on oyster restoration and site visits for District 35 schools.
Restler,"Billion Oyster Project, Inc.",Council District 33,272918478,5000,To support activities of the Billion Oyster Project School Network in Council District 33.
Aviles,"Billion Oyster Project, Inc.",School Network - Council District 38,272918478,25000,Funds will support Billion Oyster Project (BOP) schools programming and services.
Marte,"BioBus, Inc.",Council District 1,262092282,5000,To provide an interactive science education program throughout District 1 by means of a mobile lab outside schools.
Sanchez,"BioBus, Inc.",Council District 14,262092282,5000,To bring interactive science education programs to students throughout Council District 14 including the BioBus mobile lab.
Ayala,"BioBus, Inc.",Council District 8,262092282,5000,"To support hands-on, inquiry-based science education programs to students throughout Council District 8."
Brewer,"BioBus, Inc.",Mobile Science Lab,262092282,5000,Funds will support interactive science education programs at schools in Council District 6.
Gutierrez,"BK ROT, Inc.",Environmental Jobs - Council District 34,473925112,3500,"Funding to support year-round environmental jobs engage young workers in well paid, positive, skill-based environmental job training and leadership development."
Nurse,"BK ROT, Inc.",Youth Programming & Workshops,473925112,25000,"Funds will provide support for BK Rot's ongoing youth jobs and programming, including food scrap hauling, expanding partner gardens, increasing infrastructure for organics processing, and hosting waste educational workshops."
Holden,"Blau Weiss Gottschee, Inc.",,116074351,9500,Funds to be used for operating expenses for soccer pre-academy and youth sporting programs including the cost of gym and field rentals.
Ariola,Blessed Trinity Roman Catholic Church,Youth Sports Program,262885471,25000,Funds will be used to support Blessed Trinity's Youth Sports program.
Abreu,Bloomingdale School of Music,,132562192,5000,Funding to support music access programming in Council District 7. Appendix C: Youth Discretionary Page 151 Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Brewer,Bloomingdale School of Music,Training Program,132562192,5000,Funds will support student training program.
Velazquez,"Blue Card, Inc., The",,131623910,12000,Funds will provide Holocaust education for students in Council District 13.
Louis,Bonnie Boys Club,Council District 45,116075963,5000,Funding will be used to support a year-long youth baseball program as well as a mentorship program that works to provide counseling and aid student athletes in the college admissions process in Council District 45.
Nurse,Bonnie Boys Club,Support Service & Success,116075963,5000,"Funds will support recruitment, outreach, and general program development for sports services for Council District 37 youth."
Joseph,Bonnie Boys Club,Youth Support & Services - Council District 40,116075963,7000,"Funding to support the Baseball program, including the purchase of equipment and general operational expenses."
Yeger,Boro Park Jewish Community Council,Summer Program for Teens - July & August,113475993,20000,Funds will be used for a mentoring program for teenagers and to provide suppers.
Ung,"Bowne House Historical Society, Inc., The",Archives Digitization Online Project - Council District 20,116111192,5000,To support digitization of the Bowne House’s archives and educational programming for schools and residents of Council District 20.
Holden,Boy Scouts of America,Greater New York Council,131624015,5000,Funds to be used to support Boy and Cub Scout in Council District 30 and to purchase materials and supplies for scout troops.
Menin,Boy Scouts of America,Greater New York Council,131624015,5000,Funds will be used to support scouting in Council District 5.
Farias,Boy Scouts of America,Greater New York Council - Council District 18,131624015,5000,Funding to support troops in Council District 18.
Paladino,Boy Scouts of America,Greater New York Council - Council District 19,131624015,5000,"Funding will be used to carry out character building cub scout, scouts BSA, and exploring programs-in Council District 19."
Gennaro,Boy Scouts of America,Greater New York Council - Council District 24,131624015,5000,"Funding will be used to carry out character-building Cub Scout, Boy Scout, and Exploring programs, to youth ages 6-20 in the Council District 24."
Ariola,Boy Scouts of America,Greater New York Council - Council District 32,131624015,5000,Funds will be used for scouting programs within Council District 32 and purchasing equipment.
Holden,Boy Scouts of America,Greater New York Council - Honoring Veterans - Mount Olivet Cemetery,131624015,800,To place flags on veterans' graves at Mount Olivet Cemetery in Queens on both Memorial Day and Veterans Day and assist veterans in need.
Ung,Boy Scouts of America,Greater New York Council - NYC Scouting & Exploring - Council District 20,131624015,5000,"Funding to carry out Scouting programs, including youth development and character- building programs for youth in Council District 20."
Joseph,Boy Scouts of America,Greater New York Council - NYC Scouting and Exploring - Council District 40,131624015,5000,Funds will support Youth Empowerment Strategies for Success (YESS) Brooklyn programming and services in Council District 40.
Hanks,Boy Scouts of America,Greater New York Council - Scouting & Exploring,131624015,5000,Funding will support the Scouting and Exploring programs in Council District 49.
Adams,"Boys & Girls Club of Metro Queens, Inc.",,111966067,15000,Funds will support after-school and summer programming to youth at the Club.
Ariola,"Boys & Girls Club of Metro Queens, Inc.",,111966067,40000,Funds will be used to support after school programs.
Schulman,"Boys & Girls Club of Metro Queens, Inc.",Afterschool & Summer Program,111966067,5000,To provide after-school and summer programming to youth ages 5-18 in under resourced neighborhoods in Council District 29 and Queens.
Abreu,"Boys and Girls Club of Harlem, Inc.",,133102951,15000,Funding to support the Project Learn program in Council District 7.
Ayala,"Boys Club of New York, Inc., The",Sports Club,135591750,5000,To support the athletic programming of the Sports Club. Appendix C: Youth Discretionary Page 152 Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Riley,"Bracketville Books Youth Education and Sports, Inc.",Public School 076X The Bennington School (11X076) - Council District 12,872575993,10000,To provide athletic and educational programming for children in P.S 076.
Osse,Bridge Street Development Corporation,MYBASE Program,113250772,27750,Funding will be used to support the Motivated Youth Building All Self-Empowerment (MYBASE) Civic Engagement and Leadership Program.
Barron,"Bridge the Gap Youth, Inc.",Perimeter Sports Leagues - Council District 42,471393536,15000,Funding to support operating expense costs for community youth athletics programming in Council District 42.
Lee,"Broadway League, Inc., The",,130951470,5000,"Funding will be used for students to watch streamed Broadway and West End productions from classrooms, home environments, or in person. Also, make Broadway more accessible to students and encourage career opportunities in the industry."
Paladino,"Broadway League, Inc., The",Broadway Bridges,130951470,7500,Funding will support the Broadway Bridges Program for Bayside HS.
Powers,"Broadway League, Inc., The",Broadway Bridges,130951470,6000,"Funding will support Broadway Bridges, which gives tenth graders tickets to Broadway shows."
Farias,Bronx Community Cable Programming Corporation,Youth Arts & Media Initiative,133545233,5000,Funding to support the BronxNet Youth Arts and Media initiative.
Velazquez,"Bronx House, Inc.",,131739935,75000,"Funds to support Bronx House Tween and Teen programming, which provides quality educational and career guidance and social-emotional support."
Nurse,"Brooklyn Ballers Sports, Youth and Educational Corporation",Fire & Ice Basketball League & Youth Mentorship Programs,651209020,20000,"Funds will support sports and childhood development services including basketball programming, mentorship, educational and literacy programming for Council District 37 youth."
Gutierrez,"Brooklyn Ballers Sports, Youth and Educational Corporation",Health Programming - Council District 34,651209020,20000,"Funding to support health programming for the participants ages 6-24, health and fitness program will offer athletic opportunities. and healthier eating habits."
Restler,"Brooklyn Boatworks, Inc.","Building Skills, Building Community - Council District 33",271509754,5000,"Funds will be used to support the purchase of educational tools and supplies, and classroom instructors for after-school programming in Council District 33."
Hanif,"Brooklyn Book Bodega, Inc.",,833811732,5000,Support weekly and monthly programming for book sorting and distribution to community partners and increased support for literacy programming and book giveaways in District 39.
Osse,"Brooklyn Book Bodega, Inc.",,833811732,5000,Funding for book distribution in Council District 36.
Hudson,"Brooklyn Book Bodega, Inc.",Community Book Events - District,833811732,10000,"Funding to host community events during which children, adolescents, and families will be able to self-select books to add to their home libraries."
Restler,"Brooklyn Book Bodega, Inc.",Interrupting Barriers to Book Ownership - Council District 33,833811732,5000,To support programming for book sorting and distribution to community partners.
Mealy,"Brooklyn Bridge Park Conservancy, Inc.",Environmental Education & Stewardship Program,133277651,10000,"Funds to support a program that will offer young people an opportunity to learn about sustainability, recycling, aquatic ecology, and scientific observation. Appendix C: Youth Discretionary Page 153 Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds"
Joseph,"Brooklyn Bridge Park Conservancy, Inc.",Environmental Education & Stewardship Program - Council District 40,133277651,5000,"Funds will be used for operational support of the Environmental Education program to provide youth in Council District 40, an opportunity to learn about sustainability, recycling, aquatic ecology, and scientific observation."
Brannan,"Brooklyn Chinese-American Association, Inc.",Afterschool Program - Public School 69K Vincent D. Grippo School (20K069),113065859,4000,To support afterschool programming at Public School 69K Vincent D. Grippo School (20K069).
Aviles,"Brooklyn Chinese-American Association, Inc.",Youth Services - Public School 105K The Blythebourne (20K105),113065859,20000,"Funding to support after-school enrichment programming at P. S. 105K (20K105), including staff support, arts & crafts supplies and field trips."
Osse,"Brooklyn Combine for Progressive Action, Inc.",,813719832,10000,"Funding for youth programming including STEAM courses, & anti-violence training."
Kagan,"Brooklyn Emerge, Inc.",Youth Mentoring Program,851491905,5000,"Funds will be used to create a mentoring program for youth, including career counseling, leadership seminars and character building."
Restler,Brooklyn Kindergarten Society,The Sensory Gym,111631820,5000,To support the curriculum development and staffing for the Sensory Gym.
Brannan,"Brooklyn USA Sports Association, Inc.",Youth Basketball Events & Programming - Council District 43,811070700,10000,"To support youth basketball clinics, events, and educational programming in Council District 43."
Restler,"Brooklyn Youth Chorus Academy, Inc.",Education & Performance Program - Council District 33,113129249,5000,To support the Choral Music Education and Performance program and the operating expenses of the Financial Aid Initiative in Council District 33.
Hanif,"Brooklyn Youth Music Project, Inc.",,274831801,5000,To support school-year long orchestra and jazz ensemble programs that provide weekly high-quality musical training and ensemble rehearsals for kids aged 5-18.
Abreu,"Brotherhood Sister Sol, Inc., The",,133857387,15000,Funding to support The Brotherhood Sister Sol Environmental Program in Council District 7.
De La Rosa,"Brotherhood Sister Sol, Inc., The",Environmental Programming - Council District 10,133857387,6000,To support BroSis Environmental Programming in Council District 10.
Mealy,"Brownsville Partnership, Inc.",United for Brownsville,832855002,10000,"Funding will support community outreach, education, leadership development of a parent and caregiver advocacy group."
Osse,"CAMBA, Inc.",Albany Cornerstone,112480339,10000,Funding for “Block the Shot” Basketball Tournament at Albany Cornerstone.
Marte,"CAMBA, Inc.",Forsyth Satellite Academy,112480339,5000,Funding to support CAMBA’s Learning to Work Program at Forsyth Satellite Academy.
Louis,"CAMBA, Inc.",Public School 361K East Flatbush Early Childhood School (22K361) - Beacon Afterschool Program,112480339,5000,Funds will support CAMBA Youth Leadership at Beacon 361K (22K361) .
Narcisse,"CAMBA, Inc.",Sheepshead Bay - Youth Leadership,112480339,5000,Funding to provide youth programming and recreational activities at CAMBA Sheepshead Bay.
Narcisse,"CAMBA, Inc.",South Shore Educational Complex - Youth Leadership,112480339,10000,Funding to provide youth programming and recreational activities at South Shore Educational Complex.
Stevens,"Capitol District Management Association, Inc.",Community Engagement & Small Business Outreach - Council District 16,270699754,5000,Funds will support the Youth Ambassadors program in Council District 16 which provides practical work experience to local youth and promoting tourism assistance to the local neighborhood. Appendix C: Youth Discretionary Page 154 Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Joseph,Careers through Culinary Arts Program,Careers Through Culinary Arts Program - Council District 40,133662917,5000,Funding will provide culinary-and-wellness curriculum and an integrated approach to employment in the food sector for students.
Louis,Caribbean American Center of New York,Council District 45,133443781,6500,"Funding to support youth programming including staff support and to support college visits through transportation, school supplies, clothes, shoes for homeless families in Council District 45."
Hudson,Caribbean American Center of New York,"Youth Ambassador Mentoring, Training & STEM Youth Program (YAMTSP) - District 35",133443781,5000,"Funding to support STEM, college test-prep tutors, and other supportive operating expenses."
Joseph,Caribbean American Center of New York,Youth Programming - Council District 40,133443781,10000,Funds will be used to support Youth Ambassador Mentoring Training STEM Youth
Program,"(CACNY-YAMTSP), CACNY Year round programming including TESA (Technology, Education, Skills, & Arts Development) and academic support. Brooks-Powers Caribbean American Society of New York, Inc.",Council District,452796896,5000,Funding to support STEM education programming for students in Council District 31.
Brewer,"Cash Camp, Inc dba WorldofMoney",Financial Education Training,203813654,5000,Funds will be used to provide financial education training for youth.
Salamanca,"Casita Maria, Inc.",After School Music Programming - Council District 17,131623994,20000,Funds will be used to cover the costs associated with the after-school music programs.
Farias,"Castle Hill Little League, Inc.",,510256112,8500,Funding to support the 2024 Castle Hill Little League Season programming and expenses.
Salamanca,"Castle Hill Little League, Inc.",League Operations & Equipment,510256112,15000,Funding will be used for league operations & equipment.
Abreu,"Catholic Charities Community Services, Archdiocese of New York",,135562185,5000,Funding to support Alianza Sports Tournaments at La Plaza Beacon.
Brewer,"Catholic Charities Community Services, Archdiocese of New York",College Readiness Program-Innovation Diploma Plus HS (03M404),135562185,5000,Funds will support College Readiness Program-Innovation Diploma Plus HS (03M404).
Stevens,"Catholic Charities Community Services, Archdiocese of New York",Summer & After-School Programming - Council District 16,135562185,5000,"Funding to support summer and afterschool programs in Council District 16, including event expenses and other expenditures."
Joseph,"Catholic Charities Neighborhood Services, Inc.",Summer Youth Employment Program - Council District 40,112047151,7000,Funds will support Youth Empowerment Strategies for Success (YESS) Brooklyn programming and services in Council District 40.
Carr,Catholic Charities of Staten Island,,135562286,10000,Funding to offset operational expenses associated with programming and services of the CYO program.
Borelli,Catholic Charities of Staten Island,Catholic Youth Organization (CYO),135562286,30000,"Funding will be used to support CYO programming and services, including soccer and other various youth programming offered by CYO."
Vernikov,"CEKPET, Ltd.",Children's Theater Studio,264435254,10000,Funding for operational costs and supplies for children's theater program.
Restler,"Center for Community Alternatives, Inc.",Council District 33,161395992,5000,Funds to support the MAT clinic in Council District 33. Appendix C: Youth Discretionary Page 155 Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Joseph,"Center for Community Alternatives, Inc.",Youth Services - Council District 40,161395992,5000,Funding will support Flatbush YMCA youth programming.
Mealy,"Central Brooklyn Jazz Consortium, Inc.",Youth Music Institute,113549224,10000,"Funds will provide weekly instrumental, vocal and music theory sessions using project based learning activities in a blended format for youth."
Adams,"CGE LAB, Inc.",,824810947,5000,"Funds will support academic and recreational afterschool program, including summer sporting event, for youth of Council District 28."
Restler,Chabad lubavitch of Brooklyn Heights,Council District 33,113063055,5000,To support afterschool programming in Council District 33.
Lee,"Chabad of Northeastern Queens, Inc.",,113207716,5000,Funding to support general and operating expenses.
Paladino,"Chabad of Northeastern Queens, Inc.",Smile On Children,113207716,5000,"Funding to support Summer Camp, After-School Programming - homework help, music and movement, gym classes, art classes, Zumba/Yoga instruction, Martial Arts."
Schulman,"Chabad of Rego Park Corona, Inc.",Teen Programming - Council District 29,113454297,5000,To support programming and services on the mental and emotional health of teens affected by Covid-19 and parenting workshops.
Brewer,"Chamber Music Society of Lincoln Center, Inc.",Youth Education & Community Engagement Programming,132628036,5000,Funds will support youth education and community engagement programming.
Gennaro,"CHAZAQ Organization USA, Inc.",,462148352,10000,"Funds will provide services for youth including counseling, homework help, recreation, sports, outings, social gatherings, games, and music."
Bottcher,"Chess-in-the-Schools, Inc.",,136119036,5000,Funding to support chess programming and activities.
Menin,"Chess-in-the-Schools, Inc.",,136119036,10500,To fund the Scholastic Tournament Program for a Chess Tournament hosted in Council District 5.
Velazquez,"Chess-in-the-Schools, Inc.",,136119036,5000,Funds will support the Girls in Chess program for students in Council District 13.
Ung,"Chess-in-the-Schools, Inc.",Chess Programming - Council District 20,136119036,5000,"To support chess programming for students and teachers in Council District 20, including Public School 20Q."
Sanchez,"Chess-in-the-Schools, Inc.",Comprehensive Chess Education Program - Council District 14,136119036,45000,"To provide free chess education in Council District 14 with six schools - P.S. 226x, P.S. 279x, PS 386x, M.S. 390x, PS 91x and PS 175x. Additionally, to organize chess tournaments, open to any student, at PS 390x."
Marte,"Chess-in-the-Schools, Inc.",Council District 1,136119036,5000,"To support in-school and after-school programs in Council District 1 including tournaments at public schools, college-bound program, and teacher training institute."
Feliz,"Chess-in-the-Schools, Inc.",Council District 15,136119036,20000,"Funds will support chess programming for students such as School Program, Tournament Program, College Bound Program, and Teacher Training Institute."
Stevens,"Chess-in-the-Schools, Inc.",Council District 16,136119036,5000,"Funds will go to cover cost of running chess programs, summer camp, tournaments, College Bound program, and Teacher Training institute for youth in Council District 16."
Moya,"Chess-in-the-Schools, Inc.",Council District 21,136119036,20000,To support chess program and tournament in Council District 21.
Osse,"Chess-in-the-Schools, Inc.",Council District 36,136119036,7500,Funding for chess education programs and tournament programs in Council District 36. Appendix C: Youth Discretionary Page 156 Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Powers,"Chess-in-the-Schools, Inc.",Council District 4,136119036,15000,Funding will support the Chess-in-the-Schools tournament program in Council District 4.
Abreu,"Chess-in-the-Schools, Inc.",Council District 7,136119036,7500,"Funding to support a School Tournament, Teacher Training, virtual and after school programs in Council District 7."
Joseph,"Chess-in-the-Schools, Inc.",Digital Chess Education Teachers & Students - Council District 40,136119036,5000,Funds will support digital Chess education for students in Council District 40.
Farias,"Chess-in-the-Schools, Inc.",Girls in Chess Program - Council District 18,136119036,10000,"Funds will support Girls in Chess Program in Council District 18 in conjunction with Council Member and, including but not limited to, community centers, NYCHA complexes, and educational and interfaith institutions."
Ayala,"Chess-in-the-Schools, Inc.",Girls in Chess Program & All-Girls Chess Tournament - Council District 8,136119036,5000,"Funds will support Girls in Chess Program in Council District 8, including but not limited to, community centers, NYCHA complexes, and educational and interfaith institutions."
Narcisse,"Chess-in-the-Schools, Inc.",School Chess Program - Council District 46,136119036,10000,Funds will be used to provide chess programming to schools and youth in Council District 46.
Hanif,"Chess-in-the-Schools, Inc.",Title 1 Schools - Council District 39,136119036,5000,Support classroom chess instruction in Title 1 schools in Council District 39.
Mealy,"Chess-in-the-Schools, Inc.",Young Women's Leadership Development,136119036,10000,Funds will support Girls in Chess Program and All-Girls Chess Tournament.
Kagan,"Child and Youth Development Center My Way, Inc.",Youth Programs - Council District 47,462934141,10000,"Funds will provide multi-session classes and workshops in visual art, music, and dance for youth ages 5 to 22."
Adams,"Child Center of NY, Inc., The",,111733454,20000,Funding will support Wellness Center Programming at Council District 28 schools.
Hudson,"Child Center of NY, Inc., The",Aspirations Diploma Plus High School & Ebbets Field Middle School,111733454,5000,To fund school-based youth development programming after school at Aspirations Diploma Plus HS and Ebbets Field MS.
Ung,"Child Center of NY, Inc., The",Council District 20,111733454,5000,"To support culturally-sensitive mental health programming, improved access to health care, and related programming to youth in Council District 20."
