member,organization,program,ein,amount,agency,purpose
Restler,84th Precinct Community Council,,113149257,5000,DYCD,To support the operations of the 84th Precinct Community Council.
Ung,109th Precinct Community Council,National Night Out Against Crime,112417336,7500,DYCD,Funding will be used to host community events with Police and Community.
Moya,"110th Precinct Community Council, Inc.",Youth & Community Programs - Council District 21,432025653,5000,DYCD,"Funds will support Graffiti clean-up initiative throughout the service area and the explorer program, and National Night Out in Council District 21."
Louis,1199 SEIU Employer Child Care Corporation,Council District 45,134063281,5000,DYCD,Funds will support Emergency Child Care Relief For Healthcare Workers in Council District 45.
Marte,12 Park Friends,Council District 1,844141413,6000,DPR,"Funding will be used to support programming for basketball, volleyball and soccer."
Hanks,"120 Precinct Community Council, Inc.",,133691890,5000,DYCD,Funding will support various community programs and services in Council District 49.
Carr,121st Police Precinct Community Council,,463856711,5000,DYCD,"Funds will be used for supplies, marketing, rentals, food for National Night Out, seasonal events, youth explorers and community meetings."
Hanks,121st Police Precinct Community Council,,463856711,5000,DYCD,Funding will support community programs and services in Council District 49.
Carr,122nd Precinct Community Council,,133371153,5000,DYCD,"Funds will be used for supplies, marketing, rentals, food for National Night Out, seasonal events, youth explorers and community meetings."
Brooks-Powers,147th Road Block and Community Association,Council District 31,472045881,5000,DYCD,Funding will be to provide programming to serve community members in Council District 31.
Stevens,"161st Street Merchants Association, Inc.",Program & Events - Council District 16,300064721,5000,DYCD,"Funding to support community events including Back-to-School Health Fair, turkey give- away to homeless veterans and residents, and the annual Holiday Celebration in Council District 16."
Bottcher,42nd Street Workshop,New Play Development,133763953,5000,DCLA,"Funds will support New Play Development includes Workshop Writers Intensives, Workshop LABs, Words Matter, private writer's meetings, and Out of The Hat."
Osse,"500 Men Making a Difference, Inc.",,452568264,5000,DYCD,"Funding for STEM, job training, and mentoring programs."
Bottcher,"52nd Street Project, Inc., The",,133467948,5000,DCLA,To support arts and youth development programs.
Louis,"69th Precinct Community Council, Inc.",Council District 45,474186950,5000,DYCD,Funds will support youth educational programs in Council District 45.
Louis,70th Precinct Interfaith Clergy Council Inc.,Council District 45,831666768,5000,DYCD,Funds will be used to support programming at 70th Precinct Council.
Paladino,"A Better College Point Civic Association, Inc.",College Point Civic Association,871091395,7500,DYCD,Funds will support the events and services for the College Point community.
Gennaro,"A Better Jamaica, Inc.",Classic Film Fridays,113804421,5000,DCLA,"Funding will go to ""Classic Film Fridays"" for summer movie series. Funds will be used for exhibition licenses, marketing costs, and staff costs."
Williams,"A Better Jamaica, Inc.",Jamaica Reads,113804421,10000,DCLA,Funds are used to support operational expenses of the Jamaica Reads in-school tutoring program.
Williams,"A Better Jamaica, Inc.",Movie Events - Jamaica Parks,113804421,5000,DCLA,Funds to support expenses related to presenting family-friendly movies at Jamaica parks.
Adams,"A Cause A Concern A Solution Network, Inc.",Back to School Community Event,651257281,5000,DYCD,Funds will support a Back to School community event on Aug 20.
Barron,A New Chapter of Health Organization Research,Council District 42,884287434,10000,DYCD,Funds will be used to support Wellness Programming in Council District 42.
Krishnan,"Accompany Capital, Inc.",,810584343,7500,SBS,"To fund services to micro and small businesses in Queens including webinars, and technical assistance to process applications for grants and loans."
Krishnan,Adhikaar for Human Rights and Social Justice,,203384725,14000,DYCD,"To fund immigration services, adult literacy classes, and programming expansion due to increased caseloads in response to COVID-19. Appendix B: Local Initiatives Page 28 Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds"
Won,Adhikaar for Human Rights and Social Justice,,203384725,10000,DYCD,"Funds will be used to provide critical language-accessible and culturally component direct services to the Nepali-speaking community, such as case management support, adult and digital literacy classes, and workforce development trainings."
Speaker,"African Refuge, Inc.",Community and Police Mental Health Collaboration,010873188,50000,DHMH,Funds will be used to cover administrative and operational costs related to running the Community and Police Mental Health program.
Hudson,"African Voices Communications, Inc.",Artistic Programs - District 35,133687018,5000,DCLA,Funding for general operating support to provide artistic programs for low-income and fixed income residents in Brooklyn.
Louis,"African Voices Communications, Inc.",Council District 45,133687018,6000,DCLA,Funds will support the Reel Sisters of the Diaspora Film Festival & Lecture Series in Council District 45.
Jordan,"Afro-Latin Jazz Alliance of New York, Inc.",,453665976,15000,DCLA,Funding will support music education and community music programs in Council District 9.
Gutierrez,"Afro-Latin Jazz Alliance of New York, Inc.",Afterschool Programs - Public School 120K (14K120) & Public School 132K Conselyea School (14K132),453665976,5000,DCLA,Funding will support afterschool programs at Funding will support afterschool programs at Public School 120K (14K120) & Public School 132 The Conselyea School (14K132).
Brooks-Powers,Agape Community Services Corporation,Council District,311785007,5000,DYCD,Funds to be used for the Agape Eagles Summer Fun program for residents who reside in Council District 31.
Vernikov,"Agudath Israel of America Community Services, Inc.",,133975090,5000,DYCD,"Funding to support education, career counseling and job services, family support, social services, legal needs and referrals to unemployed or under employed individuals."
Louis,"Agudath Israel of America Community Services, Inc.",Brookdale Neighborhood Center,133975090,5000,DFTA,Funds will support programming at Brookdale Neighborhood Center.
Ariola,"Agudath Israel of America Community Services, Inc.",Council District 32,133975090,5000,DYCD,"Funds will be used for educational programming, job training and career counseling services to unemployed and low income families."
Bottcher,"AIDS Service Center of Lower Manhattan, Inc.",,133562071,5000,DYCD,To support Alliance's food access programs.
Rivera,"AIDS Service Center of Lower Manhattan, Inc.",Alliance for Positive Change,133562071,5000,DHMH,Funds will support Alliance for Positive Change's programs and operations.
