member,organization,program,ein,amount,purpose
Stevens,"1332 Fulton Avenue Day Care Center, Inc.",G.R.A.N.N.Y Program,132690309,20000,"Funds will go to G.R.A.N.N.Y program, which provides senior citizens that are or have been raising children with counseling, referrals, social services and social events within Council District 16."
Bottcher,"Actors Fund of America, The",Seniors Advisory Committee,131635251,5000,Funding to support the operational costs associated with the Actors Fund for Seniors Advisory Committee.
Jordan,"AGM Theater Company, Inc.",Harlem Theatre for Seniors,822783354,23000,Funds will be used to support the theater for seniors in Council District 9.
Gennaro,"Agudath Israel of America Community Services, Inc.",,133975090,16000,The purpose of this funding is to help subsidize operational and programming costs.
Joseph,"Agudath Israel of America Community Services, Inc.",,133975090,22000,"Funds will support arts and crafts, congregate lunch, tai chi, aerobics, special seasonal/holiday events and other senior center costs."
Yeger,"Agudath Israel of America Community Services, Inc.",,133975090,25000,"Funds will be used for printing of newsletters, exercise programs, trips, and misc. Also funds will support Brookdale Senior Center."
Williams,"Allen Community Senior Citizens Center, Inc.",,112326244,15000,"Funding will support health programming, recreational activities, and offset staffing cost."
Adams,"Allen Community Senior Citizens Center, Inc.",Allen Rockaway Blvd Senior Center,112326244,24000,"Funding is to support virtual and recreational programming, and food services at the senior center."
Brooks-Powers,"Allen Community Senior Citizens Center, Inc.",Council District 31,112326244,6000,"Funding will support senior socialization programs including, virtual programs and materials and resources for arts programming."
Williams,"Allen Community Senior Citizens Center, Inc.",International Towers Senior Center,112326244,10000,Funds will support general operating and program expenses.
Gennaro,"Allen Community Senior Citizens Center, Inc.",Shelton House Senior Center,112326244,5000,Funding will support operational costs associated with transportation and activities for the senior center at Shelton Houses.
Williams,"Allen Community Senior Citizens Center, Inc.",Theodora G. Jackson Senior Center,112326244,20000,"Funding will support health programming, recreational activities, and offset staffing costs."
Velazquez,Allerton Avenue Homeowners and Tenants Association,,133101238,10000,"To fund the senior center and its educational, recreational and information services."
Williams,"Alpha Phi Alpha Senior Citizens Center, Inc.",,237436147,25000,"Funds will be used to senior district-based programming, office supplies, Physical/Health exercise equipment for members and general operational expense."
Brooks-Powers,"Alpha Phi Alpha Senior Citizens Center, Inc.",Council District 31,237436147,7000,Funding will support programmatic resources and senior services for the seniors Council District 31.
Brannan,Alzheimers Disease and Related Disorders Association,"New York City, Inc.",133277408,2500,"Funding to support CaringKind's Medic Alert, NYC Wanderer's Safety Program and Community Outreach in Council District 43."
Hudson,Alzheimers Disease and Related Disorders Association,"New York City, Inc. - MedicAlert NYC Wanderer's Safety Program",133277408,5000,Funding to support Medic Alert NYC and Wanderers Safety program.
Yeger,"American-Italian Coalition of Organizations, Inc.",,112488439,7500,"Funds will be used for wellness and health programming for older adults, funding to support yoga and health classes."
Hanif,"American-Italian Coalition of Organizations, Inc.",Council District 39,112488439,9000,Funding to support operational expenses of Education and Wellness programs for seniors. Page 1 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Abreu,"ARC XVI Fort Washington, Inc.",Senior Citizen Transit - Council District 7,132745426,5000,To fund senior transportation program and associated costs.
De La Rosa,"ARC XVI Fort Washington, Inc.",WHIST Transportation Services,132745426,15000,To support ARC's Transportation Services for Seniors.
Jordan,Artspectrum DBA American Lindy Hop Championships,Lindy Hop Harlem,382767379,15000,Funding to support dance classes and performances with activities and programming taking place in Council District 9.
Gennaro,"Asian Americans For Equality, Inc.",,133187792,10000,Funding to support senior programming including intervention and immigrant services.
Vernikov,"Association of Holocaust Survivors from the Former Soviet Union, Inc.",,113395358,5000,"Funding to support cultural and educational lectures, movies, food distribution and excursions for Holocaust survivors."
Brooks-Powers,"Bartlett Foundation, The",Seniors & Veterans Programming,900952784,7000,"Funds to be used to assist in senior and veteran community engagement and recognition efforts in Council District 31, specifically host the Senior Appreciation event and Veterans Luncheon."
Brannan,"Bay Ridge Center, Inc.",,800559714,8500,Funding will be used to support Senior programming and services.
Kagan,"Be Proud, Inc.",Senior Program - Council District 47,582674169,9000,Funds will provide services and activities NYC seniors detrimentally affected by isolation and loneliness caused by the pandemic.
Dinowitz,"Bedford Park Multi-Service Center for Senior Citizens, Inc.",,132745303,10000,The funds will be used for staff support and general operational expenses.
Barron,Bergen Basin Community Development Corporation d/b/a Millennium Development,Abe Stark Senior Center,113199040,11500,"Funds will be used to support programming and services at the Abe Stark Senior Center, 42nd CD."
Restler,Bergen Basin Community Development Corporation d/b/a Millennium Development,Independence Senior Center,113199040,5000,"To provide health wellness classes, computer classes, and meals for senior citizens at Independence Senior Center."
Narcisse,Bergen Basin Community Development Corporation d/b/a Millennium Development,Mill Basin Senior Program,113199040,40000,Funding to provide senior educational and recreational activities and services at the Mill Basin Senior Program.
Barron,Bergen Basin Community Development Corporation d/b/a Millennium Development,Penn Wortman Senior Center,113199040,15000,"Funds will be used to support programming and services at the Penn Wortman Senior Center, 42nd CD."
Louis,Bergen Basin Community Development Corporation d/b/a Millennium Development,Philip Howard Houses,113199040,19000,Program will support a NORC program at the Philip Howard Houses. It will allow the seniors of the building to come down and have a place to socialize and attend health/wellness classes.
Barron,Bergen Basin Community Development Corporation d/b/a Millennium Development,Vandalia Senior Center,113199040,12000,"Funds will be used to support programming and services at the Vandalia Senior Center, 42nd CD."
Louis,BHRAGS Home Care Corp,,112579798,5000,"Funds will be used to offer year-round seniors services, health initiatives, physical day programming and adult programming for our seniors in Council District 45."
Restler,"BJHI, Inc.",Brooklyn Jewish History Downtown Brooklyn,462245413,5000,To support the gathering and preservation of Jewish oral and video histories focused on Downtown Brooklyn. Page 2 Appendix A: Aging Discretionary Council Member Legal Name of Organization - Program Name Tax ID Amount Purpose of Funds
Ariola,Blessed Trinity Roman Catholic Church,Blessed Trinity Golden Age Club,262885471,5000,"Funds will support the Golden Age Club including senior peer counseling, community updates and information on senior services."
De La Rosa,"Blue Card, Inc., The",Holocaust Survivor Assistance Program,131623910,5000,To support Blue Card Holocaust Survivor assistance program.
Hanif,Boro Park Jewish Community Council,,113475993,15000,"Funds will be utilized for services that include: Job Placement, Career Counseling, Resume Assistance, Computer Classes enabling community members and their families to achieve financial security and self-pride."
Brooks-Powers,"Braata Productions, Inc.",Singing for Seniors,273402327,10000,Funding to support Braata singing programming in senior centers in Council District 31. Ossé Bridge Street Development Corporation
,Funding to support Braata singing programming in senior centers in Council District 31. Ossé Bridge Street Development Corporation,,113250772,32500,Funding will be used to support senior programming and services.
Velazquez,"Bronx House, Inc.",,131739935,13000,"Funding to support Bronx House senior computer lab, and virtual classes."
