member,organization,program,ein,amount,agency,purpose
Restler,84th Precinct Community Council,,113149257,5000,DYCD,To support the operations of the 84th Precinct Community Council.
Paladino,109th Precinct Community Council,National Night Out & Family Fund Day,112417336,5000,DYCD,Funding to support events to build police community relationships.
Ung,109th Precinct Community Council,National Night Out Against Crime,112417336,5000,DYCD,Funding will be used to host community events with Police and Community.
Paladino,109th Precinct Community Council,Police Community Partnerships,112417336,5000,DYCD,Funding will support expenses related to running the annual family fun day and other various event programs Council District 19.
Moya,"110th Precinct Community Council, Inc.",Youth & Community Programs - Council District 21,432025653,5000,DYCD,"Funds will support Graffiti clean-up initiative throughout the service area and the explorer program, and National Night Out in Council District 21."
Ayala,"116th Street Block Association, Inc.",Self Sufficiency Access Program,133031100,5000,DYCD,Funds will enhance services to provide the resourceful tools with technology equipment such as computer and internet access to help residents and individuals in the community.
Joseph,1199 SEIU Employer Child Care Corporation,,134063281,10000,DYCD,"Funds will be used to support wrap around services designed to expose WF2 participant to college and career readiness programming including college preparation and career counseling, workforce development for youth and academic skills enhancement."
Louis,1199 SEIU Employer Child Care Corporation,Council District 45,134063281,5000,DYCD,Funds will support Emergency Child Care Relief For Healthcare Workers in Council District 45.
Carr,122nd Precinct Community Council,,133371153,5000,DYCD,"Funds will be used for supplies, marketing, rentals, food for National Night Out, seasonal events, youth explorers and community meetings."
Stevens,"161st Street Merchants Association, Inc.",Program and Events - Council District 16,300064721,5000,DYCD,"Funding to support community events including Back-to-School Health Fair, turkey give- away to homeless veterans and residents, and the annual Holiday Celebration in Council District 16."
Sanchez,"2020 Vision for Schools, Inc.",Bring Back the Arts,453023036,20000,DYCD,To expand our programs in district 14 and evaluation funding to establish evidence- based best practices for scale and replication in all underserved New York City schools.
Bottcher,42nd Street Workshop,New Play Development,133763953,5000,DCLA,"Funding to support costs associated with New Play Development programming and activities. Ossé 500 Men Making a Difference, Inc."
,"Funding to support costs associated with New Play Development programming and activities. Ossé 500 Men Making a Difference, Inc.",,452568264,5000,DYCD,"Funding for STEM, job training, and mentoring programs."
Bottcher,"52nd Street Project, Inc., The",Arts Education & Youth Development Programming,133467948,5000,DCLA,To support The 52nd Street project's theatrical and academic mentoring programs.
Louis,"67th Precinct Clergy Council, Inc.",Council District 45,274581070,2500,DYCD,Funds support programming at 67th Precinct Council.
Narcisse,"69th Precinct Community Council, Inc.",Community Initiative,474186950,7000,DYCD,"Funding to support community events and youth programming; including education, sports, combatting gang violence, after-school programs and explorers program."
Louis,"69th Precinct Community Council, Inc.",Council District 45,474186950,3000,DYCD,Support youth educational programs in Council District 45.
Louis,70th Precinct Interfaith Clergy Council Inc.,Council District 45,831666768,5000,DYCD,Funds to support programming at 70th Precinct Council.
Mealy,"71st Precinct Community Council, Inc.",,043784543,20000,DYCD,"Funds will support Family Day Picnic, National Night Out, Thanksgiving Turkey Giveaway, Senior Dinner and Christmas Toy Give-Away."
Speaker,"A Better Jamaica, Inc.",,113804421,20000,DCLA,To provide funding support for cultural events in Jamaica.
Gennaro,"A Better Jamaica, Inc.",Classic Film Fridays,113804421,5000,DCLA,"Funding will go to ""Classic Film Fridays"" for summer movie series. Funds will be used for exhibition licenses, marketing costs, and staff costs."
Williams,"A Better Jamaica, Inc.",Jamaica Reads,113804421,10000,DCLA,Funds are used to support operational expenses of the Jamaica Reads in-school tutoring program. Page 28 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Williams,"A Better Jamaica, Inc.",Movie Events - Jamaica Parks,113804421,5000,DCLA,Funds to support expenses related to presenting family-friendly movies at Jamaica parks.
Adams,"A Cause A Concern A Solution Network, Inc.",Banner Day,651257281,5000,DYCD,"Funds will support D28 Banner Day, a community event and conference for youth and families, in its planning and execution costs."
Speaker,Academy of Medical and Public Health Services,Community Health Project,272206293,25000,DHMH,"To integrate response efforts into the broader response effort to ensure consistency in information flow, while the community-driven peer psychosocial support makes this response accessible, culturally humble, & de-stigmatizing to the immigrant community."
Krishnan,"Accompany Capital, Inc.",,810584343,7500,SBS,"To fund services to micro and small businesses in Queens including webinars, and technical assistance to process applications for grants and loans."
Krishnan,Adhikaar for Human Rights and Social Justice,,203384725,14000,DYCD,"To fund immigration services, adult literacy classes, and programming expansion due to increased caseloads in response to COVID-19."
Speaker,"Krishnan, Won Adhikaar for Human Rights and Social Justice",,203384725,35000,DYCD,"Provide outreach and education to Nepali-speaking community members, including domestic workers, by connecting to resources and services. Programming includes Adult Literacy, COVID-19 Community Response, and Immigration Casework Support."
Won,Adhikaar for Human Rights and Social Justice,,203384725,20000,DYCD,Funding to support Adhikaar’s programming services and COVID-19 response and outreach.
Vernikov,Afikim Foundation,,710866051,5000,DYCD,Funds will provide educational programming to combat the challenges of being bullied.
Abreu,"African Services Committee, Inc.",,133749744,5000,DSS/HRA,Funding to support Council District 7 Legal Assistance and Consultation Days.
Hudson,"African Voices Communications, Inc.",Artistic Programs - District 35,133687018,5000,DCLA,Funding for general operating support to provide artistic programs for low-income and fixed income residents in Brooklyn.
Louis,"African Voices Communications, Inc.",Council District 45,133687018,6000,DCLA,"Funds will support the Reel Sisters of the Diaspora Film Festival & Lecture Series in Council District 45. Gutiérrez Afro-Latin Jazz Alliance of New York, Inc. - Public School 120K (14K120)"
,"Funds will support the Reel Sisters of the Diaspora Film Festival & Lecture Series in Council District 45. Gutiérrez Afro-Latin Jazz Alliance of New York, Inc.",Public School 120K (14K120),453665976,5000,DCLA,Funding to support Afro Latin Jazz Academy of Music Residency program at Public School 120K (14K120).
Brooks-Powers,Agape Community Services Corporation,Summer Fun Program - Council District 31,311785007,5000,DYCD,Funds to be used for the Agape Eagles Summer Fun program for residents who reside in Council District 31.
Vernikov,"Agudath Israel of America Community Services, Inc.",,133975090,5000,DYCD,"Funding to support education, career counseling and job services, family support, social services, legal needs and referrals to unemployed or under employed individuals."
Louis,"Agudath Israel of America Community Services, Inc.",Brookdale Neighborhood Center,133975090,5000,DYCD,Funds will support programming at Brookdale Neighborhood Center.
Gennaro,"Agudath Israel of America Community Services, Inc.",COPE Program,133975090,9000,DYCD,"Funding to provide education, career counseling, and job services for unemployed and underemployed individuals, many of whom are low income. Services will include pre- employment counseling, literacy, and skills training."
Rivera,"AIDS Service Center of Lower Manhattan, Inc.",Alliance for Positive Change,133562071,5000,DHMH,Funds will support Alliance for Positive Change's programs and operations.
Bottcher,"AIDS Service Center of Lower Manhattan, Inc.",PATH to Jobs,133562071,5000,DHMH,Funds will be used to support the Alliance's Peer Alliance Towards Health (PATH) to Jobs program.
Powers,"AIDS Service Center of Lower Manhattan, Inc.",Patients Access to Health - Council District 4,133562071,5000,DHMH,Funding will support program costs of Patients Access to Health in Council District 4.
Riley,"AIMHigh Empowerment Institute, Inc.",,813143733,52000,DYCD,"Funds to be used to operate the AIMHigh Empowerment Institute and all related programming. Page 29 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds Cabán AKTINA Productions, Inc. - Greek Television Program"
,Funds to be used to operate the AIMHigh Empowerment Institute and all related programming. Page 29 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization,"Program Name Tax ID Amount Agency Purpose of Funds Cabán AKTINA Productions, Inc. - Greek Television Program",113220961,10000,DOITT,"Funds will be used to support television programming promoting Greek culture in NYC. Avilés Alex House Project, Inc., The - Maternal and Child Health Services - Council District 38"
,"Funds will be used to support television programming promoting Greek culture in NYC. Avilés Alex House Project, Inc., The",Maternal and Child Health Services - Council District 38,475488301,20000,DHMH,"Funds will support workshops and seminars including parenting courses and topics including cooking, nutrition, techniques for de-stressing and emotional well-being, and vaccine education"
De La Rosa,Ali Forney Center,Services for LGBTQ Homeless Youth - Council District 10,300104507,5000,DYCD,To support the programming of AFC's services to LGBTQ youth in Council District 10.
Adams,"Allen Community Senior Citizens Center, Inc.",Allen Rockaway Blvd Senior Center,112326244,9500,DFTA,"Funding is to support virtual and IT services, recreational and nutritional programming and staff at the senior center."
Gennaro,"Allen Community Senior Citizens Center, Inc.",Shelton House Senior Center,112326244,3000,DFTA,Funding will support operational costs associated with transportation and activities for the senior center at Shelton Houses.
Brooks-Powers,Allen Neighborhood Preservation & Development Corporation,Council District 31,112705085,7500,DFTA,Funding will support in-person and virtual district-based senior services.
Paladino,"Alley Pond Environmental Center, Inc.",Environmental Education for All,112405466,25000,DCLA,The funding will be used to cover the various costs associated with implementing APEC's educational programs.
Speaker,"Kagan Alliance for Coney Island, Inc.",,460802042,55000,DYCD,Funding will be used to fund the program in the Amusement District and Mermaid Avenue commercial corridor and pay for staffing and supplies.
Speaker,"Alliance for Coney Island, Inc.",,460802042,125000,DYCD,Funds will be used to support cultural events and workforce recruitment events.
Kagan,"Alliance for Coney Island, Inc.",Holiday Lighting & Toy Giveaway - Council District 47,460802042,20000,SBS,Funds will be used to install holiday lighting in 47th Council District.
Kagan,"Alliance for Coney Island, Inc.",Job Training Program - Council District 47,460802042,10000,DYCD,Funding will be used for job training program expenses including those related to job developer position.
Gennaro,Alliance Of Bukharian Americans,,820806280,10000,DYCD,"To cover the cost of running free resource hotline, assisting community with needs related to education & youth health including drug awareness & abuse, housing issues, adult services & food related services, & hosting community seminars in CD 24."
Bottcher,"Alliance of Resident Theatres/New York, Inc.",,132768583,5000,DCLA,"Funding to support programming expenses with an emphasis on space, training and education, strategic support and building connections amongst New York's theater community."
Rivera,"Allied Productions, Inc.",Le Petit Versaille,133123525,5000,DYCD,Funds will support Allied Productions programs including Le Petit Versaille garden programs and operations.
Holden,"Allied Veterans Memorial Committee of Ridgewood and Glendale, Inc.",Annual Memorial Day Parade,383853340,5000,DYCD,"Funds to be used for the annual Memorial Day Parade including bands, reviewing stands, transportation, publicity and other supplies."
Schulman,Alphapointe,Workforce Development for New Yorkers Who are Blind,440552486,10000,DYCD,Funding to support operational costs of workforce development programming for blind and visually impaired individuals including assessment and participation in skill development training.
Brewer,"Alvin Ailey Dance Foundation, Inc.",,132584273,5000,DCLA,Funds will bring dance to New York City public school children.
Menin,"Alvin Ailey Dance Foundation, Inc.",,132584273,5000,DCLA,Physical dance choreography with seniors at Stanley Isaacs and other locations within Council District 5.
Menin,American Composers Orchestra,,132838450,5000,DCLA,Partner with Talent Unlimited HS for after school program or during school hours music program.
Joseph,"American Council Of Minority Women, Inc.",,270861591,5000,DYCD,"Funding will support food distribution, health seminars, and community events."
Dinowitz,"American Debate League, Inc.",,471624385,4000,DYCD,"To support the Youth Speech, Debate, and Leadership programs and activities throughout the school year and summer in Council District 11. Page 30 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds"
Speaker,"American Debate League, Inc.",,471624385,15000,DYCD,To provide funding support for debate programming.
Ariola,American-Italian Cancer Foundation,,133035711,5000,DHMH,Funds will be used to support the free breast cancer screening program within Council District 32.
Borelli,American-Italian Cancer Foundation,,133035711,2500,DHMH,"Funding will support programming, outreach and community events."
Hanif,American-Italian Cancer Foundation,,133035711,2500,DHMH,"Funds will be used to support Breast Cancer Outreach, Education, and Navigation Program which brings medically under-served NYC women into screening each year."
Menin,American-Italian Cancer Foundation,,133035711,10000,DHMH,To support no-cost breast cancer screening and education services on a Mobile Care Clinic for Council District 5.
Velazquez,American-Italian Cancer Foundation,,133035711,4000,DHMH,Funds will support cancer outreach program in Council District 13.
Brewer,American-Italian Cancer Foundation,"Breast Cancer Outreach, Education & Navigation Program",133035711,5000,DHMH,"Funding will support Breast Cancer Outreach, Education and Navigation Program."
Narcisse,American-Italian Cancer Foundation,"Breast Cancer Outreach, Education & Navigation Program",133035711,10000,DHMH,Funding to support breast cancer screening events in Council District 46.
Ung,American-Italian Cancer Foundation,"Breast Cancer Outreach, Education & Navigation Program",133035711,5000,DHMH,Funding to be used for free mobile mammography services in Council District 20.
Moya,American-Italian Cancer Foundation,Breast Cancer services & Outreach - Council District 21,133035711,10000,DHMH,"Funds will be used to support Breast Cancer Outreach, Education, Navigation Program, screenings, and mammogram bus for Council District 21."
Brannan,American-Italian Cancer Foundation,Cancer Outreach - Council District 43,133035711,4000,DHMH,Funding will support Cancer Outreach program in Council District 43.
Lee,American-Italian Cancer Foundation,Council District 23,133035711,5000,DHMH,To help fund no-cost breast cancer screening in Council District 23.
Joseph,American-Italian Cancer Foundation,Council District 40,133035711,10000,DHMH,Funding will support four breast cancer screening van events in Council District 40.
Powers,American-Italian Cancer Foundation,Free Mammograms & Clinical Breast Exams,133035711,2500,DHMH,Funding will support free mammograms and clinical breast exams for economically disadvantaged women in Council District 4.
Borelli,Americans Against Antisemitism,,841893677,3000,DYCD,"Funds will support community engagement series in publicly accessible venues, focusing on the topic of antisemitism."
Carr,Americans Against Antisemitism,,841893677,3000,DYCD,"Funds to be used for rent, advertising and staff."
Paladino,Americans Against Antisemitism,,841893677,5000,DYCD,"Funds will support community engagement series in publicly accessible venues, focusing on the topic of antisemitism."
Vernikov,Americans Against Antisemitism,,841893677,10000,DYCD,"To conduct a community engagement series in publicly accessible venues, focusing on the topic of antisemitism."
Yeger,Americans Against Antisemitism,,841893677,7000,DYCD,"Funds will be used to conduct a community engagement series in publicly accessible venues, focusing on the topic of antisemitism."
Kagan,Americans Against Antisemitism,Council District 47,841893677,7000,DYCD,Funds will host community-based inter-group dialogues citywide that focuses on the topic of antisemitism.
Narcisse,Americans Against Antisemitism,Let's Talk About Antisemitism,841893677,5000,DYCD,Funding to support the operational costs of hosting/presenting community forums regarding antisemitism.
Abreu,"Amigos Del Museo Del Barrio, Inc.",,237156720,5000,DCLA,Funding to support In-Classroom Partnerships with El Museo del Barrio in Council District 7.
Menin,"Amigos Del Museo Del Barrio, Inc.",,237156720,5000,DCLA,To support bilingual partnership program that focuses on schools and community organizations and artist-in-residency programs including visits to El Museo by schools in Council District 5.
