member,organization,program,ein,amount,agency,purpose
Restler,84th Precinct Community Council,,113149257,5000,DYCD,To support the operations of the 84th Precinct Community Council.
Adams,"1 World Expo, Inc.",,813891758,5000,DYCD,To support civic education and programming in Council District 28.
Adams,"100 Suits for 100 Men, Inc.",,462971279,10000,DFTA,Funds will provide services for seniors in Rochdale Village within Council District 28.
Ung,109th Precinct Community Council,National Night Out Against Crime,112417336,8000,DYCD,Funding will be used to host community events with Police and Community.
Moya,"110th Precinct Community Council, Inc.",National Night Out - Council District 21,432025653,5000,DYCD,Funds will be used to support the National Night Out event in Council District 21.
Joseph,1199 SEIU Employer Child Care Corporation,Council District 40,134063281,10000,DYCD,"Funds will be used to support wrap around services designed to expose WF2 participant to college and career readiness programming including college preparation and career counseling, workforce development for youth and academic skills enhancement."
Louis,1199 SEIU Employer Child Care Corporation,Council District 45,134063281,5000,DYCD,Funds will support Emergency Child Care Relief For Healthcare Workers in Council District 45.
Sanchez,1199 SEIU Employer Child Care Corporation,Future of America Learning Center (FALC),134063281,5000,DYCD,Funds will be used to support Future of America Learning Center's science fair event including supplies and curriculum for students leading up to the event.
Marte,"12 Park Friends, Inc.",Council District 1,844141413,8500,DPR,"Funding will be used to support programming for basketball, volleyball and soccer."
Hanks,121st Police Precinct Community Council,,463856711,7000,DYCD,Funding will support community programs and services in Council District 49.
Carr,122nd Precinct Community Council,,133371153,5000,DYCD,"Funds will be used for supplies, marketing, rentals, food for National Night Out, seasonal events, youth explorers and community meetings."
Ayala,"2020 Vision for Schools, Inc.",NYC Mural Festival,453023036,10000,DYCD,To support the Mural Festival in Council District 8.
Bottcher,42nd Street Workshop,New Play Development,133763953,5000,DCLA,"Funds will support New Play Development includes Workshop Writers Intensives, Workshop LABs, Words Matter, private writer's meetings, and Out of The Hat."
Bottcher,"52nd Street Project, Inc., The",,133467948,5000,DCLA,To support arts and youth development programs.
Louis,"69th Precinct Community Council, Inc.",Council District 45,474186950,5000,DYCD,Funds will support youth educational programs in Council District 45.
Mealy,"77th Precinct Community Council, Inc.",Council District 41,113463183,50000,DYCD,Funds will support community events and education for youth and older adults.
Paladino,"A Better College Point Civic Association, Inc.",College Point Civic Association,871091395,7500,DYCD,Funds will support the events and services for the College Point community.
Williams,"A Better Jamaica, Inc.",Jamaica Reads,113804421,10000,DCLA,Funds are used to support operational expenses of the Jamaica Reads in-school tutoring program.
Williams,"A Better Jamaica, Inc.",Movie Events - Jamaica Parks,113804421,5000,DCLA,Funds to support expenses related to presenting family-friendly movies at Jamaica parks.
Zhuang,Academy of Medical and Public Health Services,Language Classes,272206293,30000,DYCD,Funding will be used to support English classes for immigrants in Council District 43.
Narcisse,"Access Justice Brooklyn, Inc.",,113155182,7500,DYCD,Funds to provide legal counseling and workshops for homeowners in Council District 46.
Krishnan,"Accompany Capital, Inc.",,810584343,7500,SBS,"To fund services to micro and small businesses in Queens including webinars, and technical assistance to process applications for grants and loans."
Salaam,"Accompany Capital, Inc.",Council District 9,810584343,5000,SBS,Funds to be used to provide webinar training to participants on how to become MWBE certified and how to become loan ready. Page 27 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Salaam,"Actors Theatre Workshop, Inc.",Harriet Tubman Family Living Center & Convent Avenue Living Center - Council District 9,133593882,7500,DCLA,To provide theater program for housing insecure children by helping the address academic and personal challenges.
Dinowitz,"Adamah, Inc.",Environmental Justice,432080719,5000,DYCD,Funding to support environmental justice programming in Council District 11.
Krishnan,Adhikaar for Human Rights and Social Justice,,203384725,14000,DYCD,"To fund immigration services, adult literacy classes, and programming expansion due to increased caseloads in response to COVID-19."
Salaam,"African Communities Together, Inc.",Council District 9,461689772,5000,DYCD,To provide case management and community navigation help to immigrants in Council District 9.
Speaker,"African Refuge, Inc.",Community and Police Mental Health Collaboration,010873188,50000,DHMH,Funds will be used to cover administrative and operational costs related to running the Community and Police Mental Health program.
Hudson,"African Voices Communications, Inc.",Artistic Programs - Council District 35,133687018,5000,DCLA,Funding for general operating support to provide artistic programs for low-income and fixed income residents in Brooklyn.
Louis,"African Voices Communications, Inc.",Council District 45,133687018,5000,DCLA,Funds will support the Reel Sisters of the Diaspora Film Festival & Lecture Series in Council District 45.
Gutierrez,"Afro-Latin Jazz Alliance of New York, Inc.",Afterschool Programs - Public School 120K (14K120) & Public School 132K Conselyea School (14K132),453665976,5000,DCLA,Funding will support afterschool for Public School 120K (14K120) & Public School 132 The Conselyea School (14K132).
Salaam,"Afro-Latin Jazz Alliance of New York, Inc.",Council District 9,453665976,8000,DCLA,To provide free music education to children in Council District 9.
Salaam,"AGM Theater Company, Inc.",Council District 9,822783354,5000,DCLA,Funds will be used to support the theater in its programming in the Council District.
Vernikov,"Agudath Israel of America Community Services, Inc.",,133975090,5000,DYCD,"Funding to support education, career counseling and job services, family support, social services, legal needs and referrals to unemployed or under employed individuals."
Yeger,"Agudath Israel of America Community Services, Inc.",Boro Park Senior Center,133975090,5000,DFTA,"Funds will be used for printing of newsletters, exercise programs, recreational excursions and support for Boro Park Senior Center."
Ariola,"Agudath Israel of America Community Services, Inc.",Council District 32,133975090,5000,DYCD,"Funds will be used for educational programming, job training and career counseling services to unemployed and low income families."
De La Rosa,"AhHa!Broadway, Inc.",,852492020,5000,DYCD,To support AhHa! Broadway Programming in Council District 10.
Bottcher,"AIDS Service Center of Lower Manhattan, Inc.",,133562071,5000,DYCD,To support food access programs.
Rivera,"AIDS Service Center of Lower Manhattan, Inc.",Alliance for Positive Change,133562071,5000,DHMH,Funds will support Alliance for Positive Change's programs and operations.
Powers,"AIDS Service Center of Lower Manhattan, Inc.",Patients Access to Health - Council District 4,133562071,5000,DHMH,Funding will support program costs of Patients Access to Health in Council District 4.
Riley,"AIMHigh Empowerment Institute, Inc.",Mentorship Program - Council District 12,813143733,50000,DYCD,Funds to be used to operate the AIMHigh Empowerment Institute and all related programming.
Paladino,"AKTINA Productions, Inc.",English Speaking Greek Radio & TV,113220961,5000,DOITT,Funding will support public service and commercial free community programming.
Caban,"AKTINA Productions, Inc.",Greek Television Program,113220961,5000,DOITT,Funds will be used to support television programming promoting Greek culture in NYC and Council District 22 specific outreach.
Carr,Albanian American Association of Staten Island Inc.,,931542543,15000,DYCD,"Funds to be used for operating costs, events and programming."
Hanks,"Albanian-American Association of Ulqin, Inc.",Community Engagement,881042164,28000,DYCD,Funding will support the language school and community events. Page 28 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Aviles,"Alex House Project, Inc., The",Maternal & Child Health Services,475488301,20000,DHMH,Funds will support workforce readiness and leadership development.
Salaam,Ali Forney Center,Council District 9,300104507,5000,DYCD,Funds will support services for LGBTQ+ youth in Council District 9.
De La Rosa,Ali Forney Center,Services for LGBTQ+ Unhoused Youth + Migrant support - Council District 10,300104507,5000,DYCD,To support the Ali Forney Center’s programs and services for homeless LGBTQ+ young people in Council District 10 and support their basic needs and mental health via their city-wide Drop-In Center.
Brannan,"All Sports for All People, Incorporated",Youth Sports Programs - Council District 47,461140484,5000,DYCD,"To support youth sports programs in Council District 47, including Family Sports Night events at local schools."
Williams,Allen A.M.E. Housing Corp,,112600290,16000,DYCD,"Funding will be used for programmatic staffing and planning, office supplies/equipment, and program supplies/equipment."
Adams,"Allen Community Senior Citizens Center, Inc.",Allen Rockaway Blvd Senior Center,112326244,9500,DFTA,"Funding is to support virtual and IT services, recreational and nutritional programming and staff at the senior center."
Brooks-Powers,Allen Neighborhood Preservation & Development Corporation,Council District 31,112705085,7500,DFTA,Funding will support in-person and virtual district-based senior services in Council District 31.
Paladino,"Alley Pond Environmental Center, Inc.",Environmental Education for All,112405466,5000,DCLA,The funding will be used to cover the various costs associated with implementing APEC's educational programs.
Gennaro,Alliance Of Bukharian Americans,,820806280,10000,DYCD,"To cover the cost of running free resource hotline, assisting community with needs related to education, youth health, drug awareness, abuse, housing issues, adult services, food related services and hosting community seminars in Council District 24."
Bottcher,"Alliance of Resident Theatres/New York, Inc.",,132768583,5000,DCLA,To provide comprehensive support services producers and artist members.
Hudson,"Alliance of Resident Theatres/New York, Inc.",Council District 35,132768583,5000,DCLA,"Funding to support the Access A.R.T./New York program, which provides nonprofit theaters with tools to help them reach and serve more physically and developmentally disabled and neuro-diverse individuals."
Rivera,"Allied Productions, Inc.",Le Petit Versaille,133123525,5000,DCLA,Funds will support Allied Productions programs including Le Petit Versaille garden programs and operations.
Holden,"Allied Veterans Memorial Committee of Ridgewood and Glendale, Inc.",Annual Memorial Day Parade,383853340,5000,DVS,"Funds to be used for the annual Memorial Day Parade including bands, reviewing stands, transportation, publicity and other supplies."
Ariola,"Allied Veterans Memorial Committee of Ridgewood and Glendale, Inc.",Memorial Day Parade,383853340,2500,DVS,"Funds to be used for the annual Memorial Day Parade including bands, reviewing stands, transportation, publicity and other supplies."
Schulman,Alphapointe,General Programming for the Visually Impaired,440552486,10000,DYCD,To support Alphapointe's vision rehabilitation services as well as employment and overall skill development programming.
Menin,"Alvin Ailey Dance Foundation, Inc.",,132584273,5000,DCLA,Funds will support Physical dance choreography with seniors at Stanley Isaacs and other locations within Council District 5.
Brewer,"Alvin Ailey Dance Foundation, Inc.",Youth Dance Program,132584273,5000,DCLA,Funds will bring dance to New York City public school children.
De La Rosa,Amber Charter School,Student Debate Team,134119814,5000,DYCD,To support Amber Charter School's debate team in Council District 10.
Menin,American Composers Orchestra,Talent Unlimited High School,132838450,5000,DCLA,Funds will be used to partner with Talent Unlimited HS for after school program or during school hours music program.
Joseph,"American Council Of Minority Women, Inc.",Access to Food & Nutritional Education - Council District 40,270861591,6000,DYCD,"Funding will support food distribution, health seminars, and community events."
Mealy,"American Council Of Minority Women, Inc.",Food Pantry - Council District 41,270861591,5000,DYCD,Funds will be used to support food pantry services. Page 29 Appendix B: Local Initiatives Council Member Sponsor Legal Name of Organization - Program Name Tax ID Amount Agency Purpose of Funds
Mealy,"American Council Of Minority Women, Inc.",Health Seminar - Council District 41,270861591,5000,DYCD,Funds will be used to host the seminars in Council District 41.
Dinowitz,"American Debate League, Inc.",Council District 11,471624385,5000,DYCD,Funding to support schools debate programming in Council District 11.
