resolution,date,chart,fiscal_year,action,source,council_member,organization,program,ein,amount,agency,agy_num,ua,purpose,flags
1,2023-08-03,Local Initiatives - Fiscal 2024,2024,rescind,,,Marte Society of the Third Street Music School Settlement,Third Street Partners,135596825,-5000,DCLA,126,003,,
1,2023-08-03,Local Initiatives - Fiscal 2024,2024,designate,,,Marte NYC Kids Project,Council District 1,472103754,5000,DCLA,126,003,,
1,2023-08-03,Local Initiatives - Fiscal 2024,2024,rescind,,,"Moya Rooftop Films, Inc.",Movie Screenings - Council District 21,352323897,-5000,DCLA,126,003,,**
1,2023-08-03,Local Initiatives - Fiscal 2024,2024,designate,,,Moya Queens Community Board #3,Community Outreach & National Night Out,136400434,5000,QNCB,433,002,,**
1,2023-08-03,Local Initiatives - Fiscal 2024,2024,rescind,,,"Powers Upper Green Side, Inc.",Paper Shredding Events,208289407,-5000,DYCD,260,005,,**
1,2023-08-03,Local Initiatives - Fiscal 2024,2024,designate,,,"Powers Upper Green Side, Inc.",Paper Shredding Events,208289407,5000,DPR,846,006,,**
1,2023-08-03,Local Initiatives - Fiscal 2024,2024,rescind,,,Menin Wildcat Service Corporation,Council District 5,132725423,-5000,DYCD,260,005,,**
1,2023-08-03,Local Initiatives - Fiscal 2024,2024,designate,,,Menin Department of Parks and Recreation,St. Catherine’s Park,136400434,5000,DPR,846,006,,**
1,2023-08-03,Local Initiatives - Fiscal 2024,2024,rescind,,,Feliz Open Future Institute,Bronx Leadership Academy High School (09X525),455494252,-20000,DOE,040,402,,
1,2023-08-03,Local Initiatives - Fiscal 2024,2024,designate,,,Open Future Institute,Bronx High School for Law and Community Service Feliz (10X439),455494252,20000,DOE,040,402,,
1,2023-08-03,Local Initiatives - Fiscal 2024,2024,rescind,,,"Feliz Grand Slam Foundation, Inc.",East Tremont Baseball,271822546,-15000,DYCD,260,005,,
1,2023-08-03,Local Initiatives - Fiscal 2024,2024,designate,,,"Metropolitan New York Coordinating Council on Jewish Poverty, Inc.",Council Feliz District 15,132738818,15000,DYCD,260,005,,
1,2023-08-03,Local Initiatives - Fiscal 2024,2024,rescind,,,Feliz Department of Health and Mental Hygiene,Health Bucks - Council District 15,136400434,-50000,DHMH,816,117,,**
1,2023-08-03,Local Initiatives - Fiscal 2024,2024,rescind,,,Feliz City Parks Foundation,Community Programming - Gladwin Park,133561657,-10000,DPR,846,006,,**
1,2023-08-03,Local Initiatives - Fiscal 2024,2024,rescind,,,"Feliz Grand Slam Foundation, Inc.",East Tremont Baseball,271822546,-2000,DYCD,260,005,,**
1,2023-08-03,Local Initiatives - Fiscal 2024,2024,rescind,,,"Feliz Ballet Hispanico of New York, Inc.",Youth Programming – Council District 15,132685755,-18000,DCLA,126,003,,**
1,2023-08-03,Local Initiatives - Fiscal 2024,2024,rescind,,,"Feliz Eagle Academy Foundation, Inc.",Post-Secondary Success Initiative (PSSI),201532382,-30000,DYCD,260,312,,**
1,2023-08-03,Local Initiatives - Fiscal 2024,2024,rescind,,,"Feliz Police Athletic League, Inc.",Webster PAL,135596811,-5000,DYCD,260,312,,**
