item_number,agency_name,agency_code,units_of_appropriation,num_units,report_deadlines,coverage_period,condition_text
1,Administration for Children’s Services,068,001; 002; 007; 008,4,"January 15, 2025; July 15, 2025",,"As a condition of the funds in unit of appropriation numbers 001, 002, 007, and 008 in the Administration for Children’s Services’ (""ACS"") budget, ACS shall submit a semi- annual report detailing 1) the average daily population of youth disaggregated by juvenile offenders, juvenile delinquents, adolescent offenders; 2) the total number of incarcerated youth admitted to the custody of ACS during the reporting period on pending criminal charges who were charged with offe nses of the following severity: (a) class A felonies; (b) violent felonies as defined in section 70.02 of the penal law; (c) non -violent felonies as defined in section 70.02 of the penal law; or (d) misdemeanors; 3) of the number of incarcerated youth in the custody of ACS on the last day of each calendar month of the reporting period held in custody, the percentage charged with offenses of the following severity: (a) class A felonies; (b) class B or C felonies; (c) class D or E felonies; (d) misdemeanors; or (e) non -criminal charges; 4) average length of detention for juvenile offenders pre -sentence; 5) average length of detention for juvenile delinquents pre- disposition; 6) average length of detention for adolescent offenders pre-sentence; and 7) total number of youth serving their sentence in specialized secure detention and specialized juvenile detention. Such reports shall be submitted on January 15, 2025 and on July 15, 2025."
2,City University of New York,042,001,1,"June 1, 2025",,"As a condition of the funds in unit of appropriation number 001, the City University of New York shall submit to the Council, no later than June 1, 2025, a report on bias incidents, disaggregated by type of incident and school, for the 2024-2025 academic year."
3,Department for the Aging,125,003,1,"September 1, 2024",,"As a condition of the funds in unit of appropriation number 003, the Department for the Aging (“NYC Aging”) shall submit to the Council, no later than September 1, 2024, a report listing the name and location of each senior center and social club under its jurisdiction and whether each site has air conditioning installed, and if so, whether the air conditioning is functioning."
4,Department for the Aging,125,002; 003; 005,3,"December 31, 2024; January 1, 2025; January 15, 2025; July 1, 2024; July 15, 2025; June 30, 2025","July 1, 2024 to December 31","As a condition of the funds in unit of appropriation numbers 002, 003, and 005, semi -annually, the Department for the Aging (""NYC Aging "") shall submit to the Council a report containing the current number of people on the waitlists for: case management services, home delivered meals, and home care services. The report shall also disaggregate, by case management agency, the current ratio of caseworkers to clients, and supervisors to caseworkers. The first report shall be submitted no later than January 15, 2025 and shall cover the period beginning July 1, 2024 and ending December 31, 2024 and the second report shall be submitted no later than July 15, 2025 and shall cover the period beginning January 1, 2025 and ending June 30, 2025."
5,Department for the Aging,125,003,1,"December 31, 2024; February 1, 2025; January 1, 2024",,"As a condition of the funds in unit of appropriation number 003, the Department for the Aging (“NYC Aging”) shall submit to the Council, no later than February 1, 2025 , a report on senior center utilization, attendance, and meals served. Such report shall contain the average daily attendance, average number of meals served daily, and utilization rate of senior centers, disaggregated by Innovative Senior Centers, Neighborhood Senior Centers, and Senior Clubs. Such report shall cover the period between January 1, 2024 and December 31, 2024."
6,Department of Citywide Administrative Services,856,290,1,"July 1, 2023; June 30, 2024; November 1, 2024","July 1, 2023 to June 30","As a condition of the funds in unit of appropriation number 290, t he Department of Citywide Administrative Services (“DCAS”) shall submit an annual report to the Council regarding School Safety Guard reimbursement required pursuant to Local Law 2 of 2016. Such report shall provide: 1) the headcount of school safety guard s, disaggregated by school, 2) the hours and amounts reimbursed, disaggregated by school, 3) the number of schools that have applied for the program and the number of schools that were enrolled in the program, 4) a description of the methodology used to set the level of reimbursable hours with an explanation of any changes made to that level in the prior year. The report shall be submitted on or before November 1, 2024 and shall cover the period beginning July 1, 2023 and ending June 30, 2024."
7,Department of Correction,072,002; 003,2,"December 31, 2024; January 1, 2025; January 15, 2025; July 1, 2024; July 15, 2025; June 30, 2025","July 1, 2024 to December 31","As a condition of the funds in unit of appropriation numbers 002 and 003, the Department of Correction (“DOC”) shall provide semi-annual headcount reports to the Council detailing the number of uniformed officers that perform duties that do not require uniformed expertise and are traditionally and primarily performed by civilian personnel. Such reports shall be disaggregated by rank, and shall include the salary range, average salary, and title of the civilian positions in which the uniformed officers are working. The semi-annual reports shall be submitted as follows: the first report shall be submitted on or before January 15, 2025 and shall cover the period beginning July 1, 2024 and ending December 31, 2024. The second report shall be submitted on or before July 15, 2025 and shall cover the period beginning January 1, 2025 and ending June 30, 2025."
8,Department of Cultural Affairs,126,003,1,"December 15, 2024; December 31, 2024",,"As a condition o f the funds in unit of appropriation number 003, the Department of Cultural Affairs (“DCLA”) shall submit to the Council, no later than December 31, 2024 , a report on the total amount of grants awarded in Fiscal 2025 as of December 15, 2024, the amount of each award, and the demographics of the organization that received the grant including, but not limited to, size of the organization, location of the organization’s headquarters, location of the services provided, and type of organization (dance, visual art, performing art, etc.)."
9,Department of Education,040,438,1,"December 31, 2024; January 1, 2025; January 15, 2025; July 15, 2025; June 30, 2025; September 1, 2024","September 1, 2024 to December 31","As a condition of the funds in unit of appropriation number 438, the Department of Education (“DOE”) shall submit to the Council semi -annual reports on busing provided for students living in shelters. Such reports shall detail the number of students who have been routed and a snapshot of the number of students who are waiting to be routed. The semi -annual reports shall be submitted as follows: the first report shall be submitted no later than January 15, 2025 and shall cover the period beginning September 1, 2024 and ending December 31, 2024. The second report shall be submitted no later than July 15, 2025 and shall cover the period beginning January 1, 2025 and ending June 30, 2025."
10,Department of Education,040,436,1,"August 1, 2025; December 31, 2024; February 1, 2025; January 1, 2025; July 1, 2024; June 30, 2025","July 1, 2024 to December 31","As a condition of the funds in unit of appropriation number 436, the Department of Education (""DOE"") shall submit semi-annual reports to the Council regarding charter matching projects, including a list of all charter matching projects and the amount spent on each project, with a breakdown of expense and capital spending. For any charters where the school's expenditures and the DOE's match obligation do not match, DOE shall provide an explanation as to why it does not. The semi- annual reports shall be submitted as follows: the first report shall be submitted no later than February 1, 2025 and shall cover the period beginning July 1, 2024 and ending December 31, 2024. The second report shall be submitted no later than August 1, 2025 and shall cover the period beginning January 1, 2025 and ending June 30, 2025."
